охра	ɔ x r ɐ
федорович	f e d ɔ r ɔ ʋ e t͡ʃ
тому	t o m u
задоволення	z ɐ d ɔ w ɔ ɫ e nʲː ɐ
туман	t ʊ m ɑ n
бельгійський	b e lʲ ɦʲ i i̯ sʲ k e i̯
авіапасажир	ɐ ʋʲ i ɐ p ɐ s ɐ ʒ ɪ r
авіазасіб	ɐ ʋʲ i ɐ z ɑ sʲ i b
календарем	k ɐ ɫ e n d ɐ r ɛ m
соловейко	s ɔ ɫ ɔ ʋ ɛ i̯ k ɔ
мірою	mʲ i r ɔ j ʊ
спортсменка	s p ɔ r t͡s m ɛ n k ɐ
шаньга	ʃ ɑ nʲ ɦ ɐ
ворожнеча	w ɔ r ɔ ʒ n ɛ t͡ʃ ɐ
біднота	bʲ i d n ɔ t ɐ
гілка	ɦʲ i ɫ k ɐ
забагти	z ɐ b ɑ ɦ t e
фольклор	f ɔ lʲ k ɫ ɔ r
бесіда	b ɛ sʲ i d ɐ
оцими	ɔ t͡s ɪ m e
яничар	j ɐ n e t͡ʃ ɑ r
кобальт	k ɔ b ɐ lʲ t
відпочинок	ʋʲ i d p ɔ t͡ʃ ɪ n ɔ k
музика	m u z e k ɐ
давати	d ɐ ʋ ɑ t e
всесвітньо	ʍ s e sʲ ʋʲ i tʲ nʲ ɔ
розслідування	r o z sʲ lʲ i d ʊ ʋ ɐ nʲː ɐ
систематичний	s e s t e m ɐ t ɪ t͡ʃ n e i̯
українським	ʊ k r ɐ j i nʲ sʲ k e m
установа	ʊ s t ɐ n ɔ ʋ ɐ
заряджати	z ɐ rʲ ɐ d͡ʒ ɑ t e
модернізувати	m ɔ d e r nʲ i z ʊ ʋ ɑ t e
занурювати	z ɐ n u rʲ ʊ ʋ ɐ t e
копил	k ɔ p ɪ ɫ
конфлікт	k o n f lʲ i k t
нумограй	n ʊ m ɔ ɦ r ɑ i̯
активістка	ɐ k t e ʋʲ i s t k ɐ
дебютувати	d e bʲ ʊ t ʊ ʋ ɑ t e
феміністичний	f e mʲ i nʲ i s t ɪ t͡ʃ n e i̯
успішний	ʊ sʲ pʲ i ʃ n e i̯
нещирий	n e ʃ t͡ʃ ɪ r e i̯
лічити	lʲ i t͡ʃ ɪ t e
ропуха	r o p u x ɐ
трикутник	t r e k u t n e k
піхва	pʲ i x ʋ ɐ
румунський	r ʊ m u nʲ sʲ k e i̯
теорію	t e ɔ rʲ i j ʊ
класти	k ɫ ɑ s t e
модрина	m ɔ d r ɪ n ɐ
ствол	s t w ɔ ɫ
марта	m ɑ r t ɐ
разі	r ɑ zʲ i
комедією	k ɔ m ɛ dʲ i j e j ʊ
таємниця	t ɐ j e m n ɪ t͡sʲ ɐ
гордитися	ɦ ɔ r d ɪ t e sʲ ɐ
сплачувати	s p ɫ ɑ t͡ʃ ʊ ʋ ɐ t e
хуйло	x ʊ i̯ ɫ ɔ
мотоцикл	m ɔ t ɔ t͡s ɪ k ɫ
турнір	t ʊ r nʲ i r
подвоювати	p ɔ d w ɔ j ʊ ʋ ɐ t e
молодиця	m ɔ ɫ ɔ d ɪ t͡sʲ ɐ
пошта	p ɔ ʃ t ɐ
поем	p ɔ ɛ m
вчитель	ʍ t͡ʃ ɪ t e lʲ
інвестувати	i n ʋ e s t ʊ ʋ ɑ t e
тарас	t ɐ r ɑ s
ностальгія	n ɔ s t ɐ lʲ ɦʲ i j ɐ
спис	s p ɪ s
федерація	f e d e r ɑ t͡sʲ i j ɐ
навігаційний	n ɐ ʋʲ i ɦ ɐ t͡sʲ i i̯ n e i̯
півстоліття	pʲ i u̯ s t o lʲ i tʲː ɐ
сестриця	s e s t r ɪ t͡sʲ ɐ
акцентувати	ɐ k t͡s e n t ʊ ʋ ɑ t e
реб	r ɛ b
всередині	ʍ s e r ɛ d e nʲ i
верховна	ʋ e r x ɔ u̯ n ɐ
епохи	e p ɔ x e
екваторіальний	e k ʋ ɐ t ɔ rʲ i ɑ lʲ n e i̯
абандон	ɐ b ɐ n d ɔ n
уособити	ʊ ɔ s ɔ b e t e
літопис	lʲ i t ɔ p e s
фразеологія	f r ɐ z e ɔ ɫ ɔ ɦʲ i j ɐ
артеріє	ɐ r t ɛ rʲ i j e
тактовний	t ɐ k t ɔ u̯ n e i̯
авіапарк	ɐ ʋʲ i ɐ p ɑ r k
абсолютист	ɐ b s ɔ lʲ ʊ t ɪ s t
шестірня	ʃ e sʲ tʲ i r nʲ ɑ
страйк	s t r ɑ i̯ k
бувати	b ʊ ʋ ɑ t e
туризм	t ʊ r ɪ z m
дивізій	d e ʋʲ i zʲ i i̯
ідеальний	i d e ɑ lʲ n e i̯
міхур	mʲ i x u r
підмет	pʲ i d m e t
укус	ʊ k u s
запобігання	z ɐ p ɔ bʲ i ɦ ɑ nʲː ɐ
загальнонаціональний	z ɐ ɦ ɐ lʲ n ɔ n ɐ t͡sʲ i ɔ n ɑ lʲ n e i̯
схильний	s x ɪ lʲ n e i̯
трансформацію	t r ɐ n s f ɔ r m ɑ t͡sʲ i j ʊ
письменниці	p e sʲ m ɛ nː e t͡sʲ i
зайнятий	z ɑ i̯ nʲ ɐ t e i̯
печивом	p ɛ t͡ʃ e w ɔ m
контрастувати	k ɔ n t r ɐ s t ʊ ʋ ɑ t e
голота	ɦ ɔ ɫ ɔ t ɐ
текстовий	t e k s t ɔ ʋ ɪ i̯
мимоволі	m e m ɔ w ɔ lʲ i
приземлюватися	p r e z ɛ m lʲ ʊ ʋ ɐ t e sʲ ɐ
тож	t ɔ ʒ
додатках	d ɔ d ɑ t k ɐ x
пропозицією	p r ɔ p ɔ z ɪ t͡sʲ i j e j ʊ
співчутливий	sʲ pʲ i u̯ t͡ʃ ʊ t ɫ ɪ ʋ e i̯
міфологія	mʲ i f ɔ ɫ ɔ ɦʲ i j ɐ
прагнення	p r ɑ ɦ n e nʲː ɐ
інтерес	i n t e r ɛ s
починати	p ɔ t͡ʃ e n ɑ t e
непохитний	n e p ɔ x ɪ t n e i̯
масть	m ɑ sʲ tʲ
меморіальний	m e m ɔ rʲ i ɑ lʲ n e i̯
ґринджоли	ɡ r e n d͡ʒ ɔ ɫ e
город	ɦ ɔ r ɔ d
геофізичний	ɦ e ɔ fʲ i z ɪ t͡ʃ n e i̯
ім'я	i m j ɐ
їжакевич	j i ʒ ɐ k ɛ ʋ e t͡ʃ
відновити	ʋʲ i d n ɔ ʋ ɪ t e
нарвал	n ɐ r ʋ ɑ ɫ
менший	m ɛ n ʃ e i̯
щедрий	ʃ t͡ʃ ɛ d r e i̯
живий	ʒ e ʋ ɪ i̯
страхіття	s t r ɐ xʲ i tʲː ɐ
смерека	s m e r ɛ k ɐ
сечогінний	s e t͡ʃ o ɦʲ i nː e i̯
програма	p r ɔ ɦ r ɑ m ɐ
пов'язати	p ɔ ʋ j ɐ z ɑ t e
албанія	ɐ ɫ b ɑ nʲ i j ɐ
ситуацією	s e t ʊ ɑ t͡sʲ i j e j ʊ
вираження	ʋ ɪ r ɐ ʒ e nʲː ɐ
дивізіях	d e ʋʲ i zʲ i j ɐ x
водосховище	w ɔ d ɔ s x ɔ ʋ e ʃ t͡ʃ e
обід	o bʲ i d
східний	sʲ xʲ i d n e i̯
гратися	ɦ r ɑ t e sʲ ɐ
звідкись	zʲ ʋʲ i d k e sʲ
напружити	n ɐ p r u ʒ e t e
сервіс	s ɛ r ʋʲ i s
завершення	z ɐ ʋ ɛ r ʃ e nʲː ɐ
пандус	p ɑ n d ʊ s
херсон	x e r s ɔ n
продукція	p r o d u k t͡sʲ i j ɐ
прекрасний	p r e k r ɑ s n e i̯
знадобитися	z n ɐ d ɔ b ɪ t e sʲ ɐ
дискусія	d e s k u sʲ i j ɐ
щотижневий	ʃ t͡ʃ ɔ t e ʒ n ɛ ʋ e i̯
банк	b ɑ n k
традиційно	t r ɐ d e t͡sʲ i i̯ n ɔ
патентувати	p ɐ t e n t ʊ ʋ ɑ t e
здібний	zʲ dʲ i b n e i̯
тілі	tʲ i lʲ i
опубліковувати	ɔ p ʊ b lʲ i k ɔ w ʊ ʋ ɐ t e
авіавиставка	ɐ ʋʲ i ɐ ʋ ɪ s t ɐ u̯ k ɐ
охороняти	ɔ x ɔ r ɔ nʲ ɑ t e
йогурт	j ɔ ɦ ʊ r t
мікрофон	mʲ i k r ɔ f ɔ n
авіаметеостанція	ɐ ʋʲ i ɐ m e t e ɔ s t ɑ nʲ t͡sʲ i j ɐ
холодно	x ɔ ɫ ɔ d n ɔ
шаповал	ʃ ɐ p ɔ ʋ ɑ ɫ
сумніватися	s ʊ m nʲ i ʋ ɑ t e sʲ ɐ
кучма	k u t͡ʃ m ɐ
очиці	ɔ t͡ʃ ɪ t͡sʲ i
радіоактивний	r ɑ dʲ i ɔ ɐ k t ɪ u̯ n e i̯
ножовий	n ɔ ʒ ɔ ʋ ɪ i̯
потенціал	p ɔ t e nʲ t͡sʲ i ɑ ɫ
аб'юрація	ɐ b j ʊ r ɑ t͡sʲ i j ɐ
хобі	x ɔ bʲ i
діставатися	dʲ i s t ɐ ʋ ɑ t e sʲ ɐ
звикнути	z ʋ ɪ k n ʊ t e
двоповерховий	d w ɔ p ɔ ʋ e r x ɔ ʋ e i̯
використати	ʋ ɪ k ɔ r e s t ɐ t e
досвідчений	d ɔ sʲ ʋʲ i d͡ʒ t͡ʃ e n e i̯
перебільшувати	p e r e bʲ i lʲ ʃ ʊ ʋ ɐ t e
зимовий	z e m ɔ ʋ e i̯
раціям	r ɑ t͡sʲ i j ɐ m
абзац	ɐ b z ɑ t͡s
коефіцієнт	k ɔ e fʲ i t͡sʲ i j ɛ n t
акція	ɑ k t͡sʲ i j ɐ
усвідомлювати	ʊ sʲ ʋʲ i d ɔ m lʲ ʊ ʋ ɐ t e
водка	w ɔ d k ɐ
складний	s k ɫ ɐ d n ɪ i̯
імітація	i mʲ i t ɑ t͡sʲ i j ɐ
мілина	mʲ i ɫ e n ɑ
заучувати	z ɐ u t͡ʃ ʊ ʋ ɐ t e
пауз	p ɑ ʊ z
пошук	p ɔ ʃ ʊ k
консервувати	k ɔ n s e r w ʊ ʋ ɑ t e
конструкція	k o n s t r u k t͡sʲ i j ɐ
бета	b ɛ t ɐ
білка	bʲ i ɫ k ɐ
лопух	ɫ o p u x
інфекцію	i n f ɛ k t͡sʲ i j ʊ
аероліт	ɐ e r o lʲ i t
недооцінювати	n e d ɔ o t͡sʲ i nʲ ʊ ʋ ɐ t e
фотографії	f ɔ t ɔ ɦ r ɑ fʲ i j i
сарана	s ɐ r ɐ n ɑ
пам'ятник	p ɑ m j ɐ t n e k
грабіж	ɦ r ɐ bʲ i ʒ
район	r ɐ j ɔ n
маленький	m ɐ ɫ ɛ nʲ k e i̯
повечеряти	p ɔ ʋ e t͡ʃ ɛ rʲ ɐ t e
оренда	ɔ r ɛ n d ɐ
раса	r ɑ s ɐ
авіарозвідка	ɐ ʋʲ i ɐ r ɔ zʲ ʋʲ i d k ɐ
бувай	b ʊ ʋ ɑ i̯
конфета	k ɔ n f ɛ t ɐ
луна	ɫ ʊ n ɑ
постійно	p o sʲ tʲ i i̯ n ɔ
білок	bʲ i ɫ ɔ k
поселяти	p ɔ s e lʲ ɑ t e
вибратися	ʋ ɪ b r ɐ t e sʲ ɐ
місія	mʲ i sʲ i j ɐ
хома	x ɔ m ɑ
абсорбер	ɐ b s ɔ r b e r
варіантові	ʋ ɐ rʲ i ɑ n t ɔ ʋʲ i
психологія	p s e x ɔ ɫ ɔ ɦʲ i j ɐ
жлуктати	ʒ ɫ ʊ k t ɑ t e
друг	d r u ɦ
град	ɦ r ɑ d
кішка	kʲ i ʃ k ɐ
амбітний	ɐ m bʲ i t n e i̯
підприємство	pʲ i d p r e j ɛ m s t w ɔ
беззубий	b e zː u b e i̯
аваліст	ɐ ʋ ɐ lʲ i s t
петиція	p e t ɪ t͡sʲ i j ɐ
перевантаженість	p e r e ʋ ɐ n t ɑ ʒ e nʲ i sʲ tʲ
зовнішня	z ɔ u̯ nʲ i ʃ nʲ ɐ
раніший	r ɐ nʲ i ʃ e i̯
розгромити	r ɔ z ɦ r ɔ m ɪ t e
дути	d u t e
індустріалізувати	i n d ʊ s tʲ rʲ i ɐ lʲ i z ʊ ʋ ɑ t e
кліматичний	k lʲ i m ɐ t ɪ t͡ʃ n e i̯
сприятливий	s p r e j ɑ t ɫ e ʋ e i̯
спідниці	sʲ pʲ i d n ɪ t͡sʲ i
мотиваційний	m ɔ t e ʋ ɐ t͡sʲ i i̯ n e i̯
цитрина	t͡s e t r ɪ n ɐ
лід	lʲ i d
картопля	k ɐ r t ɔ p lʲ ɐ
таліям	t ɑ lʲ i j ɐ m
слухачка	s ɫ ʊ x ɑ t͡ʃ k ɐ
хімічний	xʲ i mʲ i t͡ʃ n e i̯
марія	m ɐ rʲ i j ɐ
крихта	k r ɪ x t ɐ
перевиховати	p e r e ʋ ɪ x ɔ ʋ ɐ t e
природному	p r e r ɔ d n ɔ m ʊ
помідор	p ɔ mʲ i d ɔ r
вівсу	ʋʲ i u̯ s u
вирізнятися	ʋ e rʲ i zʲ nʲ ɑ t e sʲ ɐ
підтримувати	pʲ i d t r ɪ m ʊ ʋ ɐ t e
хрест	x r ɛ s t
співпереживання	sʲ pʲ i u̯ p e r e ʒ e ʋ ɑ nʲː ɐ
тридцять	t r ɪ d͡zʲ t͡sʲ ɐ tʲ
ацтекський	ɐ t͡s t ɛ k sʲ k e i̯
хотіти	x o tʲ i t e
повстанець	p ɔ u̯ s t ɑ n e t͡sʲ
батяри	b ɐ tʲ ɑ r e
організаціє	ɔ r ɦ ɐ nʲ i z ɑ t͡sʲ i j e
мережа	m e r ɛ ʒ ɐ
горизонтові	ɦ ɔ r e z ɔ n t ɔ ʋʲ i
золота	z ɔ ɫ ɔ t ɐ
фільтрувати	fʲ i lʲ t r ʊ ʋ ɑ t e
вирости	ʋ ɪ r ɔ s t e
райдуга	r ɑ i̯ d ʊ ɦ ɐ
центр	t͡s ɛ n t r
вторгатися	ʍ t ɔ r ɦ ɑ t e sʲ ɐ
конкретний	k ɔ n k r ɛ t n e i̯
обґрунтований	ɔ b ɡ r ʊ n t ɔ ʋ ɐ n e i̯
арифметичний	ɐ r e f m e t ɪ t͡ʃ n e i̯
автобус	ɐ u̯ t ɔ b ʊ s
простота	p r ɔ s t ɔ t ɑ
участь	u t͡ʃ ɐ sʲ tʲ
суднобудівник	s ʊ d n ɔ b ʊ dʲ i u̯ n ɪ k
єгипет	j e ɦ ɪ p e t
доброта	d ɔ b r ɔ t ɑ
сповіщення	s p ɔ ʋʲ i ʃ t͡ʃ e nʲː ɐ
слухач	s ɫ ʊ x ɑ t͡ʃ
операція	ɔ p e r ɑ t͡sʲ i j ɐ
безперервний	b e z p e r ɛ r w n e i̯
трансформаціям	t r ɐ n s f ɔ r m ɑ t͡sʲ i j ɐ m
озерце	ɔ z e r t͡s ɛ
уособлювати	ʊ ɔ s ɔ b lʲ ʊ ʋ ɐ t e
реєстрація	r e j e s t r ɑ t͡sʲ i j ɐ
бездоганний	b e z d ɔ ɦ ɑ nː e i̯
феями	f ɛ j ɐ m e
стандарту	s t ɐ n d ɑ r t ʊ
співробітник	sʲ pʲ i u̯ r o bʲ i t n e k
розвідування	r ɔ zʲ ʋʲ i d ʊ ʋ ɐ nʲː ɐ
селити	s e ɫ ɪ t e
забрало	z ɐ b r ɑ ɫ ɔ
призначення	p r e z n ɑ t͡ʃ e nʲː ɐ
серце	s ɛ r t͡s e
албанка	ɐ ɫ b ɑ n k ɐ
мовознавство	m ɔ w ɔ z n ɑ u̯ s t w ɔ
козакові	k ɔ z ɐ k ɔ ʋʲ i
десертові	d e s ɛ r t ɔ ʋʲ i
глибина	ɦ ɫ e b e n ɑ
сусідка	s ʊ sʲ i d k ɐ
інструмент	i n s t r ʊ m ɛ n t
місіонер	mʲ i sʲ i ɔ n ɛ r
абаз	ɐ b ɑ z
становище	s t ɐ n ɔ ʋ e ʃ t͡ʃ e
безпілотний	b e zʲ pʲ i ɫ ɔ t n e i̯
перукарня	p e r ʊ k ɑ r nʲ ɐ
безвідсотковий	b e zʲ ʋʲ i d͡z s ɔ t k ɔ ʋ e i̯
вівсами	ʋʲ i u̯ s ɐ m e
промокнути	p r ɔ m o k n u t e
референдум	r e f e r ɛ n d ʊ m
компетентний	k ɔ m p e t ɛ n t n e i̯
негативно	n e ɦ ɐ t ɪ u̯ n ɔ
сегрегація	s e ɦ r e ɦ ɑ t͡sʲ i j ɐ
умовах	ʊ m ɔ ʋ ɐ x
інциденти	i n t͡s e d ɛ n t e
совок	s ɔ w ɔ k
дієвий	dʲ i j ɛ ʋ e i̯
житель	ʒ ɪ t e lʲ
сідницям	sʲ i d n ɪ t͡sʲ ɐ m
вечора	ʋ ɛ t͡ʃ ɔ r ɐ
морський	m ɔ r sʲ k ɪ i̯
осердя	ɔ s ɛ r dʲ ɐ
кривавий	k r e ʋ ɑ ʋ e i̯
настати	n ɐ s t ɑ t e
легендарний	ɫ e ɦ e n d ɑ r n e i̯
конституція	k ɔ n s t e t u t͡sʲ i j ɐ
майя	m ɑ i̯ j ɐ
незалежности	n e z ɐ ɫ ɛ ʒ n ɔ s t e
речення	r ɛ t͡ʃ e nʲː ɐ
підкреслювати	pʲ i d k r ɛ sʲ lʲ ʊ ʋ ɐ t e
паломництво	p ɐ ɫ ɔ m n e t͡s t w ɔ
вищий	ʋ ɪ ʃ t͡ʃ e i̯
трагічний	t r ɐ ɦʲ i t͡ʃ n e i̯
категоричний	k ɐ t e ɦ ɔ r ɪ t͡ʃ n e i̯
партнер	p ɐ r t n ɛ r
така	t ɐ k ɑ
поляки	p ɔ lʲ ɑ k e
раціями	r ɑ t͡sʲ i j ɐ m e
апарат	ɐ p ɐ r ɑ t
склянка	s k lʲ ɑ n k ɐ
увімкнути	ʊ ʋʲ i m k n u t e
канадієць	k ɐ n ɐ dʲ i j e t͡sʲ
зоомагазин	z ɔ ɔ m ɐ ɦ ɐ z ɪ n
славити	s ɫ ɑ ʋ e t e
литва	ɫ e t ʋ ɑ
обдарувати	ɔ b d ɐ r ʊ ʋ ɑ t e
тунелю	t ʊ n ɛ lʲ ʊ
долоням	d ɔ ɫ ɔ nʲ ɐ m
трансплантації	t r ɐ n s p ɫ ɐ n t ɑ t͡sʲ i j i
медалі	m e d ɑ lʲ i
правило	p r ɑ ʋ e ɫ ɔ
могутній	m o ɦ u tʲ nʲ i i̯
недільний	n e dʲ i lʲ n e i̯
вугор	w ʊ ɦ ɔ r
посуд	p ɔ s ʊ d
жіночий	ʒʲ i n ɔ t͡ʃ e i̯
андоррський	ɐ n d ɔ rː sʲ k e i̯
молодий	m ɔ ɫ ɔ d ɪ i̯
родзинки	r ɔ d͡z ɪ n k e
хороший	x ɔ r ɔ ʃ e i̯
візантійський	ʋʲ i z ɐ nʲ tʲ i i̯ sʲ k e i̯
потилице	p ɔ t ɪ ɫ e t͡s e
безлюддя	b e zʲ lʲ u dʲː ɐ
даремність	d ɐ r ɛ m nʲ i sʲ tʲ
займатися	z ɐ i̯ m ɑ t e sʲ ɐ
неперервний	n e p e r ɛ r w n e i̯
менськ	m ɛ nʲ sʲ k
груша	ɦ r u ʃ ɐ
синонімічний	s e n ɔ nʲ i mʲ i t͡ʃ n e i̯
гладіатор	ɦ ɫ ɐ dʲ i ɑ t ɔ r
ознайомлення	ɔ z n ɐ j ɔ m ɫ e nʲː ɐ
потрібний	p o tʲ rʲ i b n e i̯
беззастережний	b e zː ɐ s t e r ɛ ʒ n e i̯
спочатку	s p ɔ t͡ʃ ɑ t k ʊ
атеїстичний	ɐ t e j i s t ɪ t͡ʃ n e i̯
козака	k ɔ z ɐ k ɑ
довоєнний	d ɔ w ɔ j ɛ nː e i̯
поляк	p ɔ lʲ ɑ k
азербайджанський	ɐ z e r b ɐ i̯ d͡ʒ ɑ nʲ sʲ k e i̯
поступку	p ɔ s t ʊ p k ʊ
емпіричний	e m pʲ i r ɪ t͡ʃ n e i̯
звук	z w u k
зоопарк	z ɔ ɔ p ɑ r k
з'їдати	z j i d ɑ t e
аудиторія	ɐ ʊ d e t ɔ rʲ i j ɐ
слух	s ɫ u x
сідницю	sʲ i d n ɪ t͡sʲ ʊ
курбико	k ʊ r b ɪ k ɔ
коктейль	k ɔ k t ɛ i̯ lʲ
дошках	d ɔ ʃ k ɐ x
саботажниця	s ɐ b ɔ t ɑ ʒ n e t͡sʲ ɐ
коментар	k ɔ m e n t ɑ r
декларацій	d e k ɫ ɐ r ɑ t͡sʲ i i̯
безпритульний	b e z p r e t u lʲ n e i̯
незнання	n e z n ɐ nʲː ɑ
астрологія	ɐ s t r ɔ ɫ ɔ ɦʲ i j ɐ
пилосос	p e ɫ ɔ s ɔ s
рацій	r ɑ t͡sʲ i i̯
сова	s ɔ ʋ ɑ
авантура	ɐ ʋ ɐ n t u r ɐ
авіадивізія	ɐ ʋʲ i ɐ d e ʋʲ i zʲ i j ɐ
сірий	sʲ i r e i̯
тригліцерид	t r e ɦ lʲ i t͡s e r ɪ d
німець	nʲ i m e t͡sʲ
карт	k ɑ r t
шершень	ʃ ɛ r ʃ e nʲ
оприлюднювати	ɔ p r e lʲ u dʲ nʲ ʊ ʋ ɐ t e
госпіталізація	ɦ ɔ sʲ pʲ i t ɐ lʲ i z ɑ t͡sʲ i j ɐ
покупець	p ɔ k ʊ p ɛ t͡sʲ
соха	s ɔ x ɑ
співробітництво	sʲ pʲ i u̯ r o bʲ i t n e t͡s t w ɔ
стакан	s t ɐ k ɑ n
промежина	p r ɔ m ɛ ʒ e n ɐ
пухлина	p ʊ x ɫ ɪ n ɐ
суднобудівна	s ʊ d n ɔ b ʊ dʲ i u̯ n ɑ
формування	f ɔ r m ʊ ʋ ɑ nʲː ɐ
піднебіння	pʲ i d n e bʲ i nʲː ɐ
бенін	b e nʲ i n
судноплавство	s ʊ d n ɔ p ɫ ɑ u̯ s t w ɔ
старання	s t ɐ r ɑ nʲː ɐ
передбачити	p e r e d b ɑ t͡ʃ e t e
акваріум	ɐ k ʋ ɑ rʲ i ʊ m
лапша	ɫ ɐ p ʃ ɑ
плювати	p lʲ ʊ ʋ ɑ t e
парадоксальний	p ɐ r ɐ d ɔ k s ɑ lʲ n e i̯
вітебськ	ʋʲ i t e b sʲ k
зазначати	z ɐ z n ɐ t͡ʃ ɑ t e
близький	b ɫ e zʲ k ɪ i̯
німа	nʲ i m ɑ
впевнений	ʍ p ɛ u̯ n e n e i̯
доросла	d ɔ r ɔ s ɫ ɐ
листопад	ɫ e s t ɔ p ɑ d
висота	ʋ e s ɔ t ɑ
хлопчик	x ɫ ɔ p t͡ʃ e k
слов'янам	s ɫ ɔ ʋ j ɑ n ɐ m
високосний	ʋ e s ɔ k ɔ s n e i̯
навичка	n ɑ ʋ e t͡ʃ k ɐ
велосипед	ʋ e ɫ ɔ s e p ɛ d
оригінальний	ɔ r e ɦʲ i n ɑ lʲ n e i̯
персефона	p e r s e f ɔ n ɐ
клавіатурам	k ɫ ɐ ʋʲ i ɐ t u r ɐ m
так	t ɑ k
візуальний	ʋʲ i z ʊ ɑ lʲ n e i̯
абрикоса	ɐ b r e k ɔ s ɐ
колонія	k ɔ ɫ ɔ nʲ i j ɐ
жолудь	ʒ ɔ ɫ ʊ dʲ
дзиґа	d͡z ɪ ɡ ɐ
релігійний	r e lʲ i ɦʲ i i̯ n e i̯
небога	n e b ɔ ɦ ɐ
рись	r ɪ sʲ
спадкоємиця	s p ɐ d k ɔ j ɛ m e t͡sʲ ɐ
гординя	ɦ ɔ r d ɪ nʲ ɐ
джгут	d͡ʒ ɦ u t
скребти	s k r e b t ɪ
мелодіям	m e ɫ ɔ dʲ i j ɐ m
капітан	k ɐ pʲ i t ɑ n
доріжка	d o rʲ i ʒ k ɐ
законодавство	z ɐ k ɔ n ɔ d ɑ u̯ s t w ɔ
пришвидшити	p r e ʃ ʋ ɪ d͡ʒ ʃ e t e
покарань	p ɔ k ɐ r ɑ nʲ
абатиса	ɐ b ɐ t ɪ s ɐ
коханий	k ɔ x ɐ n e i̯
женевський	ʒ e n ɛ u̯ sʲ k e i̯
законодавиця	z ɐ k ɔ n ɔ d ɑ ʋ e t͡sʲ ɐ
позбавляти	p ɔ z b ɐ u̯ lʲ ɑ t e
жовтень	ʒ ɔ u̯ t e nʲ
коронавірус	k ɔ r ɔ n ɐ ʋʲ i r ʊ s
салон	s ɐ ɫ ɔ n
мексиканка	m e k s e k ɑ n k ɐ
серцевий	s e r t͡s ɛ ʋ e i̯
лялька	lʲ ɑ lʲ k ɐ
самотній	s ɐ m ɔ tʲ nʲ i i̯
яма	j ɑ m ɐ
віросповідання	ʋʲ i r ɔ s p ɔ ʋʲ i d ɑ nʲː ɐ
твар	t ʋ ɑ r
шанобливий	ʃ ɐ n ɔ b ɫ ɪ ʋ e i̯
шанувальник	ʃ ɐ n ʊ ʋ ɑ lʲ n e k
ламати	ɫ ɐ m ɑ t e
уживати	ʊ ʒ e ʋ ɑ t e
фрагменти	f r ɐ ɦ m ɛ n t e
вичерпувати	ʋ e t͡ʃ ɛ r p ʊ ʋ ɐ t e
електрика	e ɫ ɛ k t r e k ɐ
вишити	ʋ ɪ ʃ e t e
ізраїльтянин	i z r ɐ j i lʲ tʲ ɑ n e n
попіл	p ɔ pʲ i ɫ
золото	z ɔ ɫ ɔ t ɔ
блокнот	b ɫ ɔ k n ɔ t
трансформаціях	t r ɐ n s f ɔ r m ɑ t͡sʲ i j ɐ x
стратегія	s t r ɐ t ɛ ɦʲ i j ɐ
припущень	p r e p u ʃ t͡ʃ e nʲ
битва	b ɪ t ʋ ɐ
дитсадок	d e t͡s ɐ d ɔ k
медуза	m e d u z ɐ
копито	k ɔ p e t ɔ
металург	m e t ɐ ɫ u r ɦ
згодний	z ɦ ɔ d n e i̯
невидимий	n e ʋ ɪ d e m e i̯
авіашоу	ɐ ʋʲ i ɐ ʃ ɔ ʊ
приймати	p r e i̯ m ɑ t e
інтернаціональний	i n t e r n ɐ t͡sʲ i ɔ n ɑ lʲ n e i̯
світлий	sʲ ʋʲ i t ɫ e i̯
кишеню	k e ʃ ɛ nʲ ʊ
готувати	ɦ ɔ t ʊ ʋ ɑ t e
апатія	ɐ p ɑ tʲ i j ɐ
політично	p ɔ lʲ i t ɪ t͡ʃ n ɔ
дитсадки	d e t͡s ɐ d k ɪ
мексиканський	m e k s e k ɑ nʲ sʲ k e i̯
наблизити	n ɐ b ɫ ɪ z e t e
руанда	r ʊ ɑ n d ɐ
розорений	r ɔ z ɔ r e n e i̯
сир	s ɪ r
джаз	d͡ʒ ɑ z
аболіція	ɐ b o lʲ i t͡sʲ i j ɐ
освітній	ɔ sʲ ʋʲ i tʲ nʲ i i̯
стілець	sʲ tʲ i ɫ ɛ t͡sʲ
парасолька	p ɐ r ɐ s ɔ lʲ k ɐ
житній	ʒ ɪ tʲ nʲ i i̯
слобода	s ɫ ɔ b ɔ d ɑ
бельгія	b ɛ lʲ ɦʲ i j ɐ
одноголосний	ɔ d n ɔ ɦ ɔ ɫ ɔ s n e i̯
суддя	s ʊ dʲː ɑ
вікісловник	ʋʲ i kʲ i s ɫ ɔ u̯ n ɪ k
продавщиця	p r ɔ d ɐ u̯ ʃ t͡ʃ ɪ t͡sʲ ɐ
енциклопедистка	e n t͡s e k ɫ ɔ p e d ɪ s t k ɐ
дата	d ɑ t ɐ
інтуїція	i n t ʊ j i t͡sʲ i j ɐ
філософія	fʲ i ɫ ɔ s ɔ fʲ i j ɐ
розглянути	r ɔ z ɦ lʲ ɑ n ʊ t e
уявити	ʊ j ɐ ʋ ɪ t e
місцевий	mʲ i s t͡s ɛ ʋ e i̯
перевиховувати	p e r e ʋ e x ɔ w ʊ ʋ ɐ t e
випадок	ʋ e p ɑ d ɔ k
