देवनागरी	d̪eʋnɑɡɑri
दिशाकुञ्जी	d̪ i ʃ ä k u ɳ d͡ʒ i
झिलमिल	d͡zʱ i l ʌ m i l
पितित्त	p i t̪ i t̪ t̪
सलसल	s ʌ l ʌ s ʌ l
वाक्यविन्यास	b ä k j ʌ b i n j ä s
अल्पस्मृति	ʌ l p ʌ s m ɾ i t̪ i
बिच्छुक	b i t͡ʃʰ u k
कुम्ले	k u m l e
कौटिलीय	k ʌʊ̯ ʈ i l i j ʌ
पाण्डव	p ä ɳ ɖ ʌ b ʌ
शारदा	ʃ ä r ʌ d ä
फुल्चोकी	pʰ u l t͡ʃ o k i
धानबाली	d̪ʱ ä n ʌ b ä l i
गतिमान	ɡ ʌ t̪ i m ä n
समेट्	s ʌ m e ʈ
असौजे	ʌ s ʌʊ̯ d͡ʒ e
सेलफोन	s e l pʰ o n
गिरफ्तार	ɡ i r ʌ pʰ t̪ ä r
गुलाब	ɡ u l ä b
परख	p ʌ r ʌ kʰ
तन	t̪ ʌ n
मारुनी	m ä r u n i
खोर्‍याउ	kʰ o r j ä u
न्यायाधीश	n j ä j ä d̪ʱ i ʃ
लाम्पाटो	l ä m p ä ʈ o
टेक्	ʈ e k
जिल	z i l
वाहवाह	b ä ɦ b ä ɦ
थाती	ʈʰ ä t̪ i
चुड्का	t͡ʃ u ɖ k ä
डफ्फा	ɖ ʌ pʰ pʰ ä
दृष्टान्त	d̪ ɾ i ʃ ʈ ä n ʈ
सुर्क	s u r ʌ k
टुङ्‍ना	ʈ u ŋ n ä
वरपर	b ʌ r p ʌ r
सङ्गम	s ʌ ŋ ɡ ʌ m
सारिका	s ä r i k ä
अम्बर	ʌ m b ʌ r
प्राची	p r ä t͡ʃ i
दिलाउ	d̪ i l ä u
हार्दिकता	ɦ ä r d̪ i k ʌ t̪ ä
आविद्ध	ä b i d̪ʱ
बेमज्जा	b e m ʌ d͡ʒ d͡ʒ ä
लागिमेली	l ä ɡ i m e l i
आभ्यन्तरिक	ä bʱ j ʌ n ʈ ʌ r i k
आरोपित	ä r o p i t̪
चिच्चो	t͡ʃ i t͡ʃʰ o
तौलसमूह	t̪ ʌʊ̯ l s ʌ m u ɦ
आर्ज	ä r d͡ʒ
भर्र	bʱ ə r r
हार्दिक	ɦ ɑː r d̪ i k
शिलापत्र	ʃ i l ɑː p ə t̪ r
ल्याउ	l j ɑː u
असंवेदनता	ə s ə̃ w e d̪ ə n ə t̪ ɑː
घडघडे	ɡʱ ə ɖ ɡʱ ə ɖ e
चुतिया	t͡ʃ u t̪ i j ɑː
उत्केन्द्र	u t̪ k e n d̪ r
सुनार	s u n ɑː r
आर्यसमाजी	ɑː r j ə s ə m ɑː d͡ʒ i
नाइटो	n ɑː i ʈ o
टेण्डर	ʈ e ɳ ɖ r
जतनलाख	d͡ʒ ə t̪ ə n l ɑː kʰ
चवालीसौं	t͡ʃ ə w ɑː l iː s ɔ̃
इच्छित	i t͡ʃʰ i t̪
निशिदिन	n i ʃ i d̪ i n
रेटाइ	r e ʈ ɑː i
गदा	ɡ ə d̪ ɑː
षोडश	ʂ o ɖ ʂ
चस्मदिद	t͡ʃ ə s m ə d̪ i d̪
पूर्ण	p uː r ɳ
वक्र	w ə k r
गव्य	ɡ ə w j
कीटाणुनाशक	k iː ʈ ɑː ɳ u n ɑː ʃ ə k
उद्धार	u d̪ d̪ʱ ɑː r
अजित	ə d͡ʒ i t̪
काँचुली	k ɑ̃ t͡ʃ u l i
आर्य	ɑː r j
पत्रिका	p ə t̪ r i k ɑː
हिउँचितुवा	ɦ i ũ t͡ʃ i t̪ u w ɑː
ठोक्	ʈʰ o k
जर्क	d͡ʒ ə r k
डवल	ɖ ə w ə l
सरिशृप	s ə r i ʃ r̩ p
खत्ति	kʰ ə t̪ t̪ i
ढलीमली	ɖʱ l iː m ə l iː
छुताहा	t͡ʃʰ u t̪ ɑː ɦ ɑː
प्रवाह	p r ə w ɑː ɦ
अजनबी	ə d͡ʒ ə n ə b iː
सालनाल	s ɑː l n ɑː l
द्रब्यशाह	d̪ r ə b j ə ʃ ɑː ɦ
फस्क	f ə s k
द्रुत	d̪ r u t̪
अर्गला	ə r ɡ ə l ɑː
विधानसभा	w i d̪ʱ ɑː n ə s ə bʱ ɑː
अङ्कारा	ə ŋ k ɑː r ɑː
तागत	t̪ ɑː ɡ ə t̪
चरचरे	t͡ʃ ə r t͡ʃ ə r e
निजगढ	n i d͡ʒ ə ɡʱ ə ɖ
आयुष्मान	ɑː j u ʂ m ɑː n

    लत्रक्क	l ʌ t̪ r ʌ k̚ k
जोकर	j o k ʌ r
नरदेवी	n ʌ r ʌ d̪ e v i
बर्मा	b ʌ r m ä
शंसोधन	ʃ ʌ̃ s o d̪ʱ ʌ n
हार्दिक	ɦ ä r d̪ i k
बर्बर	b ʌ r b ʌ r
गिरावट	ɡ i r ä ʋ ʌ t̪
ल्वापल्वापती	l ʋ ä p l ʋ ä p ʌ t̪ i
पिरीपिरी	p i r i p i r i
घैले	ɡʱ ä i l e
जर्खरो	j ʌ r kʰ ʌ r o
समयाङ्कन	s ʌ m ʌ j ä ŋ k ʌ n
माओ	m ä o
घोप्ट्	ɡʱ o p ʈ
दुवाकोट	d̪ u ʋ ä k o ʈ
कठपाइले	k ʌ t̪ʰ p ä i l e
खाम	kʰ ä m
वात्सल्य	ʋ ä t̪ s ʌ l j ʌ
आक्षेपक	ä kʃ e p ʌ k
डकार्	ɖ ʌ k ä r
आधार	ä d̪ʱ ä r
कस्तो	k ʌ s t̪ o
आशौच	ä ʃ ä u t͡s ʌ
छताछुल्ल	t͡sʰ ʌ t̪ ä t͡sʰ u l l
रोक्	r o k
गम्भीरता	ɡ ʌ m bʱ i r ʌ t̪ ä
आत्मपरक	ä ʌ t̪ m ʌ p ʌ r ʌ k
विधानसभा	ʋ i d̪ʱ ä n ʌ s ʌ bʱ ä
ठिङ्ग	ʈʰ i ŋ ɡ
जबरा	j ʌ b ʌ r ä
चनाखो	t͡s ʌ n ä kʰ o
ह्नेदिक	ɦ n e d̪ i k
खानपान	kʰ ä n ʌ p ä n
महेश	m ʌ ɦ e ʃ
अम्बर	ʌ m b ʌ r
बिँगो	b i ŋ ɡ o
पुरिया	p u r i j ä
आमुन्नेसामुन्ने	ä m u n n e s ä m u n n e
रेल्वे	r e l ʋ e
अधिकारवाला	ʌ d̪ʱ i k ä r ʌ ʋ ä l ä
खतरा	kʰ ʌ t̪ ʌ r ä
अपेक्षणीय	ʌ p e k ʃ ʌ n i j ʌ
कायिक	k ä j i k
गज्क	ɡ ʌ d͡z k
अनेकार्थी	ʌ n e k ä r t̪ʰ i
उनन्‍तीस	u n ʌ n t̪ i s
वृद्धि	ʋ r ʌ d̪ʱ i
पुच्छर	p u t͡sʰ ʌ r
बेमज्जा	b e m ʌ d͡z d͡z ä
जङ्गब	ʤʌŋɡʌb
चुबुरचुबुर	t͡ʃʊbʊɾt͡ʃʊbʊɾ
सप्लाइ	sʌplɑːi
चावहिल	t͡ʃɑːʋʌhil
नोवेल	noʋel
सँगी	sʌ̃ɡiː
दावा	dɑːʋɑː
अन्तर्त्वचा	ʌntʌɾtʌʋt͡ʃɑː
व्यङ्ग्य	ʋjʌŋɡjʌ
लताम	lʌtɑːm
परिभाषा	pʌɾibʱɑːʂɑː
तथा	tʌtʰɑː
खुलापन	kʰʊlɑːpʌn
पिशाच	pisʰɑːt͡ʃ
साहा	sɑːhɑː
मड्क	mʌɖk
राजप्रासाद	rɑːʤprɑːsɑːd
सालसुल	sɑːlsʊl
गोलि	ɡoli
स्याहार	sjɑːhɑːɾ
कुटुम्ब	kʊʈʊmb
आशौच	ɑːʃɔːt͡ʃ
रुपरेखा	rʊpʌrekʰɑː
नङ्ग्याउ	nʌŋɡjɑːʊ
नब्बे	nʌbbeː
गाँस्	ɡɑː̃s
चाप्	t͡ʃɑːp
बाह्रखरी	bɑːhrʌkʰriː
वाहन	ʋɑːhʌn
माउ	mɑːʊ
दैनिकी	dɑːinikiː
पास	pɑːs
कनसुत्ली	kʌnʌsʊtliː
सुलसुल	sʊlsʊl
समेना	sʌmenɑː
छ्याकन	t͡ʃʰjɑːkʌn
उत्तुङ	ʊttʊŋ
खपटि	kʰʌpʌʈi
सम्झौतापत्र	sʌmʤʰɔːtɑːpʌtɾ
थाप्ला	tʰɑːplɑː
अस्पष्टता	ʌspʌʂʈtɑː
होल्डर	hoːlɖʌr
लडाक	lʌɖɑːk
प्रोजेक्ट	proːʤekt
भलभल	bʰʌlbʰʌl
घरजम	ɡʰʌrʤʌm
आक्षेपक	ɑːkʃepʌk
खारी	kʰɑːriː
सहटाउ	sʌhʌʈɑːʊ
रुक्मिणी	rʊkmɪɳiː
टकराउ	ʈʌkʌɾɑːʊ
चिल्ल्याउ	t͡ʃɪlːjɑːʊ
रन्कि	ɾʌnkɪ
झर्को	d͡ʒʱʌɾkoː
फस्क	pʰʌsk
अति	ʌtɪ
एकौटी	ekɔːʈiː
अजय	ʌd͡ʒʌj
ऐँचाताना	ɛ̃t͡ʃɑːtɑːnɑː
उनान्नब्बे	unɑːnːʌbːeː
आपत	ɑːpʌt
जनवरी	d͡ʒʌnʌʋʌɾiː
उद्धारक	ʊd̪d̪ʱɑːɾʌk
नागरिकता	nɑːɡʌɾɪkʌt̪ɑː
राजनीति	rɑːd͡ʒniːt̪ɪ
अनिन्द्य	ʌnɪnd̪jʌ
अनुत्पादित	ʌnʊt̪pɑːd̪ɪt̪
खुरुङ्गो	kʰʊɾʊŋɡoː
परख	pʌɾʌkʰ
कप्ल्याककुप्लुक्क	kʌpljɑːkʌkʊplʊkː
बिच्छुक	bɪt͡ʃʰʊk
छल्ल	t͡ʃʰʌlː
चानेचुने	t͡ʃɑːneːt͡ʃʊneː
गवेषण	ɡʌʋeːʂʌn
कहीं	kʌɦiː̃
चिनु	t͡ʃɪnʊ
पन्छ	pʌnt͡ʃʰ
लैजा	lɛːd͡ʒɑː
बुन्	bʊn
बलिउड	bʌliːʊd̪
भेडा	bʱeːd̪ɑː
हिचकिचाउ	ɦɪt͡ʃkɪt͡ʃɑːʊ
बाँको	bɑ̃ːkoː
एकजीउ	ekd͡ʒiːʊ
प्रतिपादन	pɾʌt̪ɪpɑːd̪ʌn
झताउरे	d͡ʒʱʌt̪ɑːʊɾeː
हार	ɦɑːɾ
अरुचिकर	ʌɾʊt͡ʃɪkʌɾ
एकले	ekʌleː
उध्र	ʊd̪ʱɾ
कटाकटाउँदो	kʌʈɑːkʌʈɑːʊ̃doː
वाच्य	ʋɑːt͡ʃjʌ
सोध्	soːd̪ʱ
लर्याङतर्याङ	lʌɾjɑːŋt̪ʌɾjɑːŋ
च्यापु	t͡ʃjɑːpuː
मोज	moːd͡ʒ
अपकर्षक	ʌpʌkʌɾʂʌk
हाक्कहुक्क	ɦɑːkːʌɦʊkː
क्षति	kʂʌt̪ɪ
शक्तिमान	ʃʌkt̪ɪmɑːn

    सरणि	s ʌ r ʌ n i
आज्ञा	ä d͡z ɲ ä
लेखोट	l e kʰ oʈ
पाँडे	p ä̃ ɖ e
चासोपर्दो	t͡ʃ ä s o p ʌ r d o
डाकिनी	ɖ ä k i n i
आच्छन्न	ä t͡ʃʰ ʌ n ʌ n
सारुप्य	s ä r u p j ʌ
हस्तक्षेप	ɦ ʌ s t̪ ʌ kʃ e p
उखन्ड	u kʰ ʌ n ɖ
टाई	ʈ ä i
थु:	ʈʰ u
थिर्	ʈʰ i r
फाल	pʰ ä l
आहाल	ä ɦ ä l
मोटक	m o ʈ ʌ k
पनौती	p ʌ n ʌ u t i
अग्रिम	ʌ ɡ r i m
कार्यकर्ता	k ä r j ʌ k ʌ r t ä
इन्टेल	i n ʈ e l
मुख	m u kʰ
कुरकुर	k u r ʌ k u r
कोलाहल	k o l ä ɦ ʌ l
मुलुक	m u l u k
चौसट्ठी	t͡ʃ ʌ u s ʌʈʰ i
पग्लि	p ʌ ɡ l i
स्वेच्छ्या	s ʋ e t͡ʃʰ j ä
फकिर	pʰ ʌ k i r
लोप्रि	l o p r i
धड्	dʱ ʌ ɖ
औलो	ʌ u l o
उत्केन्द्र	u t̪ k e n d r ʌ
ढक्क	ɖʱ ʌ k k
खेदुवा	kʰ e d u ʋ ä
संवास	s ʌ̃ ʋ ä s
सनातन	s ʌ n ä t̪ ʌ n
पञ्चायत	p ʌ̃ t͡ʃ ä j ʌ t̪
सबार	s ʌ b ä r
टेलीभिजन	ʈ e l i bʱ i d͡z ʌ n
अग्रता	ʌ ɡ r ʌ t̪ ä
पर्वाह	p ʌ r ʋ ä ɦ
ब्रस	b r ʌ s
पूँजीपति	p ũ d͡ʒ i p ʌ t̪ i
धुरी	dʱ u r i
जङ्गि	d͡z ʌ ŋ ɡ i
मेष	m e ʃ
अभिवन्दनीय	ʌ bʱ i ʋ ʌ n d ʌ n i j ʌ
उत्पादी	u t̪ p ä d i
द्विज	d̪ ʋ i d͡z
लैजा	l ä i d͡z ä
बिमाख	b i m a kʰ
कीर्तिशाली	k i r t i ʃ a l i
क्षति	k ʂ a t i
अग्रिम	a ɡ r i m
छुताहा	t͡ʃʰ u t a h a
विचारधारा	ʋ i t͡ʃ a r dʰ a r a
पितित्त	p i t i t t
पूर्णविराम	p u r ɳ a ʋ i r a m
चिट्ट	t͡ʃ i ʈ ʈ
उकाली	u k a l i
झङ्कारित	d͡zʱ ŋ k a r i t
मुनामदन	m u n a m a d a n
कालोनीलो	k a l o n i l o
वेदवाक्य	ʋ e d a ʋ a k j a
अमीर	a m i r
स्याहार	s j a h a r
काँधि	k a ɳ dʱ i
गोल्छा	ɡ o l t͡ʃʰ a
मोज	m o d͡z
गणतन्त्री	ɡ ɳ a t a n t r i
व्यङ्ग्य	ʋ j a ŋ g j a
आखिभूइँ	a kʰ i bʱ u ĩ
स्वास्थ्यकेन्द्र	s ʋ a s tʰ j a k e n d r a
आत्मपरक	a a t m a p a r a k
पद्मकन्या	p a d m a k a n j a
वीरेन्द्रनगर	ʋ i r e n d r a n a ɡ a r
आशाकारी	a ʃ a k a r i
जिब्रो	d͡ʒ i b r o
ककपीट	k a k a p i ʈ
वौद्धिक	ʋ a u d dʱ i k
आफन्तजन	a a f a n t a d͡ʒ a n
हारहुर	h a r h u r
सादापाठ	s a d a p a ʈʰ
छक्का	t͡ʃʰ a k k a
मिलन	m i l a n
किड्नी	k i ɖ n i
कुसुम	k u s u m
वनसाङ्लो	ʋ a n a s a ŋ l o
बिलौनी	b i l a u n i
पतलाउ	p a t a l a u
मालिका	m a l i k a
बलाघात	b a l a ɡʱ a t
राजगद्दी	r a d͡ʒ a ɡ a d d i
अधमरो	a dʱ m a r o
उहिले	u h i l e
पाप्रा	p a p r a
हिरन	h i r a n
झट्कार्	d͡zʱ a ʈ k a r
थैली	ʈʰ a i l i
सट्याकसुटुक	s a ʈ j a k a s u ʈ u k
श्यार्पा	ʃ j ɑː r p ɑː
खचाखच	kʰ ʌ t͡ʃ ɑː kʰ ʌ t͡ʃ
आदर्श	ɑː d ʌ r ʃ
निकासी	n i k ɑː s iː
रामो	r ɑː m o
रुद्राक्ष	r u d r ɑː kʃ
सिट्	s i ʈ
अजय	ʌ d͡ʒ ʌ j
जरुर	d͡ʒ ʌ r u r
यगण	j ʌ ɡ ʌ ɳ
भल	bʱ ʌ l
खुल्लमखुल्ला	kʰ u l l ʌ m kʰ u l l ʌ
तकदिर	t ʌ kʌ d i r
घिनाहा	ɡʱ i n ɑː h ɑː
झरझर	d͡ʒʱ ʌ r d͡ʒʱ ʌ r
जगर्सेठ	d͡ʒ ʌ ɡ ʌ r s eː ʈʰ
भँगडी	bʱ ʌ ŋ ɡ ʌ d iː
प्रति	p r ʌ t i
ताउलो	t ɑː u l o
घोटाला	ɡʱ oː ʈ ɑː l ɑː
महेश	m ʌ h e ʃ
खुर्क	kʰ u r k
सहटाउ	s ʌ h ʈ ɑː u
ऐँचाताना	ʌ iː n t͡ʃ ɑː t ɑː n ɑː
छपन	t͡ʃʰ ʌ p ʌ n
राणा	r ɑː ɳ ɑː
वनचर	b ʌ n ʌ t͡ʃ ʌ r
क्यास्ट्रो	k j ɑː s ʈ r o
खौवा	kʰ ɔː b ɑː
ज्यास्ता	d͡ʒ j ɑː s t ɑː
शहर	ʃ ʌ h ʌ r
छत्तीस	t͡ʃʰ ʌ t t iː s
सल्याकसुलुक	s ʌ l j ɑː k ʌ s u l u k
निराश	n i r ɑː ʃ
धनेस	dʱ ʌ n e s
अधर	ʌ dʱ ʌ r
रजिस्ट्रार	r ʌ d͡ʒ i s ʈ r ɑː r
चट्याङ्ग	t͡ʃ ʌ ʈ j ɑː ŋ ɡ
ठिङुरि	ʈʰ i ŋ u r i
मन्जन	m ʌ n d͡ʒ ʌ n
अकलगुम	ʌ k ʌ l ʌ ɡ u m
चार	t͡ʃ ɑː r
आश्रम	ɑː ʃ r ʌ m
थाती	ʈʰ ɑː t iː
हायहाय	h ɑː j h ɑː j
ट्याम्पो	ʈ j ɑː m p o
तानाशाह	t ɑː n ɑː ʃ ɑː h
दहिलो	d ʌ h i l o
शब्दकोष	ʃ ʌ b d ʌ k oː ʃ
चूनढुङ्गो	t͡ʃ uː n ʌ ɖʱ u ŋ ɡ o
अनेकौं	ʌ n e k ɔ̃
गुम्सि	ɡ u m s i
पुस्टाउ	p u s ʈ ä u
ट्वाल्ल	ʈ w ä l l
टपरे	ʈ ʌ p ʌ r e
शान्तिवार्ता	ʃ ä n ʈ i w ä r ʈ ä
सम्झौतापत्र	s ʌ m d͡ʒʱ ɔ ʈ ä p ʌ t̪ r
परिवार	p ʌ r i w ä r
दन्तशूल	d ʌ n ʈ ʌ ʃ u l
सुल्ल	s u l l
झरझर	d͡ʒʱ ʌ r d͡ʒʱ ʌ r
अभिजातवर्ग	ʌ bʱ i d͡ʒ ä ʈ ʌ w ʌ r ɡ
भेडो	bʱ e ɖ o
बदला	b ʌ d̪ l ä
अनगिन्ती	ʌ n ʌ ɡ i n ʈ i
सारथि	s ä r ʌ t̪ʱ i
आदि	ä d̪ i
आमाछोरी	ä m ä t͡ʃʰ o r i
साबुन	s ä b u n
गप्फ्याउ	ɡ ʌ p f j ä u
जिबुल्ले	d͡ʒ i b u l l e
बेगल	b e ɡ ʌ l
अविभाज्य	ʌ w i bʱ ä d͡ʒ j ʌ
बरु	b ʌ r u
गणपूरक	ɡ ʌ n p u r ʌ k
त्यता	t̪ j ʌ t̪ ä
निराश	n i r ä ʃ
चिमचिम	t͡ʃ i m t͡ʃ i m
मोचन	m o t͡ʃ ʌ n
थेग्रि	ʈʰ e ɡ r i
उद्‌भासी	u d bʱ ä s i
ठेकेदार	ʈʰ e k e d ä r
जप्	d͡ʒ ʌ p
असहयोग	ʌ s ʌ h ʌ j o ɡ
रसि	r ʌ s i
सिगसिगाउ	s i ɡ s i ɡ ä u
चौतीसौं	t͡ʃ ɔ t̪ i s ɔ̃
खबटो	kʰ ʌ b ʈ o
सन्यास	s ʌ n j ä s
परिपक्वता	p ʌ r i p ʌ k w ʌ t̪ ä
एकुन्टा	e k u n ʈ ä
घरधन्दा	ɡʱ ʌ r d̪ʱ ʌ n d̪ ä
खर्रो	kʰ ʌ r r o
सन्तति	s ʌ n ʈ ʌ t̪ i
तालिम	t̪ ä l i m
टुकटुकती	ʈ u k ʈ u k ʈ i
अनियमित	ʌ n i j ʌ m i t̪
चेकपोस्ट	t͡ʃ e k ʌ p o s ʈ
झटाझटी	d͡ʒʱ ʈ ä d͡ʒʱ ʈ i
उल्लासक	u l l ä s ʌ k
मुसल	m u s ʌ l
दनदन	d ʌ n ʌ d ʌ n
अबोधव्यक्ति	ʌ b o d̪ʱ ʌ b j ʌ k t̪ i
खनाल	kʰ ʌ n ä l
चुनौती	t͡s u n ʌ u t̪ i
सुत्	s u t̪
छाँटा	t͡sʰ ä̃ ʈ ä
छापा	t͡sʰ ä p ä
म्याउँ	m j ä ũ
भारी	bʱ ä r i
समयाङ्कन	s ʌ m ʌ j ä ŋ k ʌ n
आलोक	ä l o k
कुकुर्कि	k u k u r k i
मिटर	m i ʈ ʌ r
उल्लासित	u l l ä s i t̪
छिपछिपे	t͡sʰ i p t͡sʰ i p e
तलतिर	t̪ ʌ l ʌ t̪ i r
बाध्य	b ä d̪ʱ j ʌ
उमेर	u m e r
थासो	ʈʰ ä s o
तुलसीपुर	t̪ u l ʌ s i p u r
बोतो	b o t̪ o
सहशिक्षा	s ʌ ɦ ʌ s i k ʃ ä
बाहु	b ä ɦ u
विज्ञापक	b i d͡z ʌ̃ p ʌ k
कदरपत्र	k ʌ d̪ ʌ r p ʌ t̪ r
ग्वाँगे	ɡʷ ä̃ ŋ ɡ e
होचि	ɦ o t͡s i
हुँदो	ɦ ũ d o
कुँड्	k ũ ʈ
कार्यकक्ष	k ä r j ʌ k ʌ k ʃ
ग्याँठवाल	ɡ j ä̃ ʈʰ ʌ ʋ ä l
हरहर	ɦ ʌ r ɦ ʌ r
जरा	d͡z ʌ r ä
आराम	ä r ä m
शिवालय	ʃ i ʋ ä l ä j
अट्टालिका	ʌ ʈ ʈ ä l i k ä
किफाएति	k i f ä e t̪ i
सुविस्ता	s u ʋ i s t̪ ä
गजेन्द्र	ɡ ʌ d͡z e n d̪ r
वारुणयन्त्र	ʋ ä r u ɳ ʌ j ʌ n t̪ r
चन्द्रिका	t͡s ʌ n d̪ r i k ä
झिलमिल	d͡zʱ i l m i l
म्याट्रिक्स	m j ä ʈ r i k s
ज्वालामुखी	d͡z ʋ ä l ä m u kʰ i
खरिददार	kʰ ʌ r i d̪ ʌ d̪ ä r
त्यही	t̪ j ʌ ɦ i
अपहरणकारी	ʌ p ʌ ɦ ʌ r ʌ n k ä r i
जजमाने	d͡z ʌ d͡z m ä n e
चिहान	t͡s i ɦ ä n
टाई	ʈäi
गतिछाडा	gʌt̪it͡ʃʰäɖä
मञ्च	mʌɳt͡ʃ
ठेकेदार	ʈʰekedär
मरमरी	mʌrmʌri
आहारा	äɦärä
क्यानभास	kjänbhäs
बुरुण्डी	burʊɳɖi
आशंसित	äʃə̃sit
रत्नदास	rʌt̪nʌdäs
उतार	utär
ओभाउ	obhäu
आलोडन	älodʌn
उदाराशय	udäräʃʌj
चुनीचुनाउ	t͡ʃuniːt͡ʃunäu
तमाखु	tʌmäkʰu
लोकार्पण	lokärpʌɳ
कटाकटाउँदो	kʌʈäkʌʈäũdo
आनाकानी	änäkäni
आर्य	ärj
मौजुदा	maud͡ʒudä
गदा	gʌdä
चन्दने	t͡ʃʌndʌne
सुरेन्द्र	suren̪d̪rʌ
उन्मादपन	unmäd̪pʌn
शिष्टाचार	ʃiʂʈäcär
चीफ	t͡ʃif
चुनौती	t͡ʃunäut̪i
खुरुङ्गो	kʰurʊŋgo
अभिषेचन	ʌbʱiʃet͡ʃʌn
कुरूप	kurup
ओट्	oʈ
जारजन्मा	d͡ʒärʤʌnmä
ताउलो	täul̪o
ऊर्ध्वगामी	urd̪ʱwʌgämi
अकपट	ʌkʌpʌʈ
रे	re
प्राङ्‍गार	präŋgär
कोटिनाम	koʈinäm
निवृत्त	nivrʊt̪t̪
किनार	kʰinär
प्राविधिक	präbid̪ʱik
वृद्ध	vrʊd̪ʱ
द्रब्यशाह	d̪rʌbjʃäh
पिठ्युँ	pʌʈʰjũ
कामधेनु	kämʌd̪ʱenu
कार्यवाही	kärjʋähi
अनिन्द्य	ʌnind̪j
नर्मल	nʌrmʌl
खन	kʰʌn
खकाल्	kʰ ʌ k ä l
रामेश्वर	r ä m e ʃ w ʌ r
बहिष्कार	b ʌ ɦ i ʃ k ä r
प्रति	p r ʌ t̪ i
कालोनीलो	k ä l o n i l o
मान्धाता	m ä n̪ d̪ʱ ä t̪ ä
कवास	k ʌ w ä s
आख्यायक	ä kʰ j ä j ʌ k
अश्रान्त	ʌ ʃ r ä n̪ t̪
धोक्	d̪ʱ o k
उखाड्	u kʰ ä ɖ
हरितगृह-प्रभाव	ɦ ʌ r i t̪ ʌ ɡ r ʌ ɦ p r ʌ bʱ ä w
फतरि	pʰ ʌ t̪ ʌ r i
ओझेल	o d͡zʱ e l
चम्सुर	t͡s ʌ m s u r
असहयोग	ʌ s ʌ ɦ j o ɡ
आयुष्मान	ä j u ʃ m ä n
आखिभूइँ	ä kʰ i bʱ u ĩ
आईएसपी	ä i e s p i
अविपन्न	ʌ w i p ʌ n̪ n
दयानिधान	d̪ ʌ j ä n i d̪ʱ ä n
दातृसंस्था	d̪ ä t̪ r s ʌ̃ s t̪ʰ ä
उलामाला	u l ä m ä l ä
सुअवसर	s u ʌ w ʌ s ʌ r
करामत	k ʌ r ä m ʌ t̪
अत्यावस्यकरुप	ʌ t̪ j ä w ʌ s j ʌ k ʌ r u p
लेखपढ	l e kʰ p ʌ ɖ
जीन	j i n
काइँकुइँ	k ä ĩ k u ĩ
झिल्स्याइँदो	d͡zʱ i l s j ä ĩ d̪ o
घुन्न	ɡʱ u n̪ n
श्री	ʃ r i
गीतिचेत	ɡ i t̪ i t͡s e t̪
उत्तरदायित्त्व	u t̪ t̪ ʌ r d̪ ä j i t̪ t̪ w
सत्तारुढ	s ʌ t̪ t̪ ä r u ɖʱ
मनुष्य	m ʌ n u ʃ j
अश्वशक्ति	ʌ ʃ w ʌ ʃ ʌ k t̪ i
कमर्स	k ʌ m ʌ r s
सम	s ʌ m
अनित्य	ʌ n i t̪ j
दुर्दशा	d̪ u r d̪ ʌ ʃ ä
अमिलि	ʌ m i l i
अभिव्यक्ति	ʌ bʱ i w j ʌ k t̪ i
आकस्मिकता	ä k ʌ s m i k ʌ t̪ ä
मूल्य	m u l j
सबथोक	s ʌ b ʌ t̪ʰ o k
परपरि	p ʌ r p ʌ r i
केर्	k e r
देवी	d̪ e w i
टुपुटुपु	ʈ u p u ʈ u p u
समयाङ्कन	s ʌ m ʌ j ä ŋ k ʌ n
क्षोभक	kʰ ʃ o bʱ ʌ k
अप्ठ्यारा	ʌ p ʈʰ j ä r ä
मुद्दा	m u d̪ d̪ ä
झन्अस्ति	d͡zʱ ʌ n ʌ s t̪ i
खर्लप्प	kʰ ʌ r l ʌ p p
बाबुआमा	b ä b u ʌ m ä
टाल	ʈ ä l
साकेवा	s ä k e b ä
भ्रम	bʱ r ʌ m
अरगज्ज	ʌ r ʌ ɡ ʌ d͡zʱ d͡zʱ
ब्रह्‍मर्षि	b r ʌ ɦ m ʌ r ʃ i
अनुपमेय	ʌ n u p ʌ m e j
स्थिर	s ʈʰ i r
सुकुटे	s u k u ʈ e
मसौदा	m ʌ s ʌ u̯ d̪ ä
वहि:	b ʌ ɦ i
प्यारा	p j ä r ä
अनिमन्त्रित	ʌ n i m ʌ n ʈ r i t̪
क्याल्सीयम	k j ä l s i j ʌ m
थापाथली	ʈʰ ä p ä ʈʰ l i
मीठो	m i ʈʰ o
पुरिया	p u r i j ä
परीक्षण	p ʌ r i kʰ ʃ ʌ n
मुड्की	m u ɖ k i
मट्याङ्ग्रो	m ʌ ʈ j ä ŋ r o
अनुन्नत	ʌ n u nː ʌ t̪
पुरस्कार	p u r ʌ s k ä r
व्यन्जन	b j ʌ n d͡zʱ ʌ n
फारो	pʰ ä r o
वृश्चिक	b r ʌ ʃ t͡ʃ i k
परिवहन	p ʌ r i b ʌ ɦ ʌ n
गलसेरा	ɡ ʌ l s e r ä
खत्ति	kʰ ʌ t̪ t̪ i
तथा	t̪ ʌ ʈʰ ä
नलिखुट्टो	n ʌ l i kʰ u ʈ ʈ o
गोब्य्राउ	ɡ o b j r ä u̯
तिखार्	t̪ i kʰ ä r
रामनारायण	r ä m n ä r ä j ʌ n
भक्तिमान	bʱ ʌ k t̪ i m ä n
सेवक	s e b ʌ k
उच्च	u t͡ʃ t͡ʃ
