चपेटा	t͡ʃʌpʌʈʌ
घर्ती	ɡʱərtiː
मनोविज्ञान	mənovid͡ʒɲɑːn
च्यान्टो	t͡ʃjɑːnʈoː
एकत्र	ekətr
रजिस्ट्रार	rəd͡ʒist̪rɑːr
दन्कि	dənki
आशंसित	ɑːʂə̃sit̪
खोस्य्राङखोस्य्राङ	kʰosjrɑːŋkʰosjrɑːŋ
हिक्मत	hikmət̪
वज्राचार्य	vəd͡ʒrɑːt͡ʃɑːrjə
सिल	sil
क्रमाङ्कन	krmɑːŋkən
डगमग	ɖəɡməɡ
पनाति	pənɑːt̪i
तैबिसेक	t̪ɑːibisek
कोक्ल्याँटो	kokljɑ̃ʈoː
खस	kʰəs
नेशनल	neʃənəl
बर्मा	bərmɑː
पिरपिर	pirpir
ढाल्	ɖʱɑːl
निःस्वार्थ	nisvɑːrʈʰ
साङ्ली	sɑːŋliː
अप्रधान	əprədʱɑːn
दधीचि	dədʱit͡ʃi
कागजात	kɑːɡəd͡ʒɑːt̪
प्रतिपद	prət̪ipəd̪
मोफसल	mofəsəl
बौलाउ	bɔːlɑːu
तमोर	t̪əmor
वृद्धि	vr̩d̪d̪ʱi
अनुपकार	ənupəkɑːr
कङ्गाल	kəŋɡɑːl
डिसेम्बर	ɖisembər
अव्यवस्था	əvjəvəsʈʰɑː
पुरस्कार	purəskɑːr
मैलो	mɑːilo
एकतमास	ekət̪mɑːs
अर्च	ərt͡ʃ
अनिष्ट	əniʂʈ
झगड्याहा	d͡ʒʱəɡəd̪jɑːhɑː
उफ्र	ufr
एकजातीय	ekəd͡ʒɑːt̪ijə
बेल्ट	belt̪
छ्‌वात्लाङ्ङ	t͡ʃʰvɑːt̪lɑːŋŋ
शारदा	ʃɑːrdɑː
र्‌याखर्‌याखती	rjɑːkʰərjɑːkʰət̪i
रल्लि	r ʌ l l i
आवाज	ä w ä d͡z
व्यतिरेक	b j ʌ t̪ i r e k
लोकार्पण	l o k ä r p ʌ n
कर्णफूल	k ʌ r ɳ ʌ f u l
हस्तक्षेप	ɦ ʌ s t̪ k ʃ e p
फुकुन्डो	pʰ u k u n ɖ o
ओकल्	o k ʌ l
बरफ	b ʌ r ʌ pʰ
गर्धने	ɡ ʌ r d̪ʱ ʌ n e
देवर्षि	d e b ʌ r ʃ i
जङ्गे	d͡z ʌ ŋ ɡ e
वायुसेना	b ä j u s e n ä
भाद्र	bʱ ä d r
रेलिङ	r e l i ŋ
अथक	ʌ t̪ʰ ʌ k
अभुक्त	ʌ bʱ u k t̪
इकोसिस्टम	i k o s i s t̪ ʌ m
दधीचि	d ʌ dʱ i t͡ʃ i
मालश्री	m ä l ʃ r i
पावर	p ä b ʌ r
मोडेम	m o ɖ e m
छ्याकटे	t͡ʃʰ j ä k ʌ t̪ e
अविचल	ʌ b i t͡ʃ ʌ l
खुल्कि	kʰ u l k i
पुरिया	p u r i j ä
कटुता	k ʌ t̪ u t̪ ä
अव्यवस्था	ʌ b j ʌ b ʌ s t̪ʰ ä
आत्मघाती	ä t̪ m ɡʱ ä t̪ i
दावा	d ä b ä
अश्रान्त	ʌ ʃ r ä n t̪
विधायक	b i dʱ ä j ʌ k
मोसो	m o s o
अनुष्ठित	ʌ n u ʃ t̪ʰ i t̪
अमानुष	ʌ m ä n u ʃ
भुक्लुक्क	bʱ u k l u k k
रत्नदास	r ʌ t̪ n ʌ d ä s
अकर्मण्यता	ʌ k ʌ r m ʌ ɳ j ʌ t̪ ä
कञ्चनजङ्घा	k ʌ n t͡ʃ ʌ n d͡z ʌ ŋ ɡʱ ä
लेस्	l e s
पराल	p ʌ r ä l
प्रोजेक्ट	p r o d͡z e k t̪
दापा	d ä p ä
इट	i ʈ
व्याख्याता	b j ä kʰ j ä t̪ ä
बर्मा	b ʌ r m ä
परमाधिपति	p ʌ r m ä dʱ i p ʌ t̪ i
फेचो	pʰ e t͡ʃ o
आर्जे	ä r d͡z e
द्विज	d b i d͡z

    सुत्	s u t
दनक	d ʌ n ʌ k
कमलनाभ	k ʌ m ʌ l n ʌ bʱ
राडार	r ʌ ɖ ʌ r
राजेश	r ʌ dʒ e ʃ
माझ्	m ʌ dʒ
जनार्दन	dʒ ʌ n ʌ r d ʌ n
एकसट्ठीऔं	e k ʌ s ʌ t̪ʰ i ʌ̃
रेडक्रस	r e ɖ k r ʌ s
उदयोन्मुख	u d ʌ j o n m u kʰ
जिल	dʒ i l
लुटपुट	l u ʈ p u ʈ
अल्बानीया	ʌ l b ʌ n i j ʌ
वक्र	b ʌ k r
फोहरा	pʰ o ɦ ʌ r ʌ
ल्याफल्याफती	l j ʌ pʰ l j ʌ pʰ ʌ t̪ i
चेप्रो	t͡ʃ e p r o
चेपे	t͡ʃ e p e
जनी	dʒ ʌ n i
चण्ड	t͡ʃ ʌ ɳ ɖ
आभासित	ʌ bʱ ʌ s i t̪
आदर्श	ʌ d ʌ r ʃ
उपवक्ता	u p ʌ b ʌ k t̪ ʌ
विस्तार	b i s t̪ ʌ r
रोगब्याधी	r o ɡ ʌ b j ʌ dʱ i
लाद्	l ʌ d
लोचन	l o t͡ʃ ʌ n
अलख	ʌ l ʌ kʰ
एस	e s
कवाज	k ʌ b ʌ dʒ
सुबोल	s u b o l
परमाधिपति	p ʌ r ʌ m ʌ dʱ i p ʌ t̪ i
छ्याकन	t͡ʃʰ j ʌ k ʌ n
संघर्ष	s ʌ ŋ ɦ ʌ r ʃ
सङ्गीन	s ʌ ŋ g i n
हृदय	ɦ ɾ i d ʌ j
हात-हालाहाल	ɦ ʌ t̪ - ɦ ʌ l ʌ ɦ ʌ l
घत्रक्क	ɡʱ ʌ t̪ r ʌ k k
सलिल	s ʌ l i l
सल्याङबल्याङ	s ʌ l j ʌ ŋ b ʌ l j ʌ ŋ
महत्ता	m ʌ ɦ ʌ t̪ t̪ ʌ
जीर्ण	dʒ i r ɳ
रघुवीर	r ʌ ɡʱ u b i r
नोवेल	n o b e l
ससीम	s ʌ s i m
सरौटो	s ʌ r ʌ u̯ t̪ o
कलकलाउँदो	k ʌ l k ʌ l ʌ u̯ n d o
पत्रिका	p ʌ t̪ r i k ʌ
घोप्ट्	ɡʱ o pʰ t̪
पाना	p ʌ n ʌ
चाकडी	t͡ʃ ɑː k ʌ d i
बलाधिकृत	b ʌ l ɑː dʱ i k ɾ i t
पुग्	p ʊ ɡ
घरधुरी	ɡʱ ʌ r ʌ dʱ ʊ r iː
उबार्	ʊ b ɑː r
उल्लसित	ʊ l l ʌ s i t
स्थानीयता	s tʰ ɑː n iː j ʌ t ɑː
सारांश	s ɑː r ɑː ̃ ʃ
अकड	ʌ k ʌ d
ढेडु	ɖʱ eː d ʊ
आन्दोलन	ɑː n d oː l ʌ n
मलहम	m ʌ l ʌ h ʌ m
मङ्गलाचरण	m ʌ ŋ ɡ ʌ l ɑː t͡ʃ ʌ r ʌ n
तुर्लुङ	t ʊ r l ʊ ŋ
पद्यनाटक	p ʌ d j ʌ n ɑː ʈ ʌ k
क्यारेक्टर	k j ɑː r eː k ʈ ʌ r
सावा	s ɑː v ɑː
जा	d͡ʒ ɑː
कट्टु	k ʌ ʈ ʈ ʊ
महिना	m ʌ h iː n ɑː
सोभियत	s oː bʱ iː j ʌ t
गिद्धे	ɡ iː dʱ ʌ eː
उजुर	ʊ d͡ʒ ʊ r
प्रोजेक्ट	p r oː d͡ʒ eː k ʈ
किलोग्राम	k iː l oː ɡ r ɑː m
अविचलित	ʌ v iː t͡ʃ ʌ l iː t
वाच्य	v ɑː t͡ʃ j ʌ
मेडिसिन	m eː d iː s iː n
बिजाइँ	b iː d͡ʒ ɑː iː ̃
उनान्सयौं	ʊ n ɑː n s j ɔː ̃
खोजी	kʰ oː d͡ʒ iː
खौवा	kʰ ɔː v ɑː
जिउ	d͡ʒ iː ʊ
आदि	ɑː d iː
घोप्ट्	ɡʱ oː p ʈ
त्रियाकलाप	t r iː j ɑː k l ɑː p
खबटे	kʰ ʌ b ʌ ʈ eː
चुक्लीखोर	t͡ʃ ʊ k l iː kʰ oː r
वाचस्पति	v ɑː t͡ʃ ʌ s p ʌ t iː
कट्टू	k ʌ ʈ ʈ uː
उनन्‍तीस	ʊ n ʌ n t iː s
उल्टाइ	ʊ l ʈ ɑː iː
वृत्तान्त	v ɾ iː t t ɑː n t
स्वच्छता	s v ʌ t͡ʃʰ t ɑː
ग्याँचे	ɡ j ɑː ̃ t͡ʃ eː
इट	iː ʈ
भविष्यवाणी	bʱ ʌ v iː ʃ j ʌ v ɑː n iː
तन्नेरी	t ʌ n n eː r iː
धुस्नि	dʱ ʊ s n iː
बटुको	b ʌ ʈ ʊ k oː
मैनबत्ती	maɪnbatːi
धरौटी	dʱarɔʈi
ह्वासह्वास	hʋasʰʋas
थ्वाप्प	tʰʋapː
घिनाहा	ɡʱinaɦa
अप्रतिद्वन्द्व	apratidʋandʋ
पाणिनि	paɳini
गोब्र्याउ	gobrjaʊ
लुगाफाटा	lugaɸaʈa
भद्राक्ष	bʱadrakʃ
झीनू	dʒhinu
संपादन	səmpadan
हिमालचुली	himalculi
किम्बु	kimbu
आदिवासी	adivasi
खनाल	kʰanal
दस्तखत	dastakʰat
बग्रेन	bagren
दुर्गादास	durgadas
उगल्चि	ugalci
परमाधिपति	paramadipati
कुँडुलि	kʌ̃duli
आविष्ट	aviʃʈ
अश्रान्त	aʃrant
नक्साल	naksal
कह	kah
कसजू	kasadʒu
बिट	bit
सम	sam
नर्स	nars
लय	lay
रमरमी	ramrami
मतान्तर	matanʈar
थाह	tʰah
खाद्यपदार्थ	kʰadyapadarʈʰ
रातारात	ratarat
फतरि	ɸatari
यथा	yatʰa
अमानव	amanav
र्‌याँर्याँ	rjanrjan
गच्छदार	gacʰadʌr
कसूरदार	kasurdar
जुस	dʒus
वस्तुत:	vastut:
खसोखास	kʰasokʰas
सुनि	suni
टेस्टट्युब	ʈestʈjub
नङ्ङि	naŋgi
एनान	enʌn
बोटे	boʈe

    लुइँलुइँ	l u ĩ l u ĩ
बलाधिकृत	b ʌ l ɑː d̪ʱ i k ɾ i t̪
काव्यचेतना	k ɑː b j ʌ t͡ʃ e t̪ ʌ n ɑː
झुल्के	d͡zʱ u l k e
कोर्याककोर्याक	k o r j ɑː k k o r j ɑː k
उपमान	u p ʌ m ɑː n
क्रीम	k r iː m
पेम्बा	p e m b ɑː
पिरिक्क	p i r i k k
सुकसुक	s u k s u k
ताउली	t ɑː u l iː
खोसेल्टि	kʰ o s e l t̪ i
पुराकथा	p u r ɑː k ʌ t̪ʰ ɑː
जनी	d͡ʒ ʌ n iː
टल्ल	t̪ ʌ l l
सराप्	s ʌ r ɑː p
पलाउ	p ʌ l ɑː u
गृष्म	ɡ ɾ i ʂ m
चुनौती	t͡ʃ u n ɔː t̪ iː
घिरघिर	ɡʱ i r ɡʱ i r
फ्याक्स	pʰ j ɑː k s
शिरीष	ʃ i r iː ʂ
छन्	t͡ʃʰ ʌ n
बबरमहल	b ʌ b ʌ r m ʌ ɦ ʌ l
र्‌याखर्‌याखती	r j ɑː kʰ r j ɑː kʰ t̪ iː
आम्खोरा	ɑː m kʰ o r ɑː
खल्लो	kʰ ʌ l l o
मुस्लिम	m u s l i m
सरौटो	s ʌ r ɔː t̪ o
सत्याग्रह	s ʌ t̪ j ɑː ɡ r ʌ ɦ
डाइथेन	ɖ ɑː i t̪ʰ e n
मध्यस्थता	m ʌ d̪ʱ j ʌ s t̪ʰ ʌ t̪ ɑː
तमाखु	t̪ ʌ m ɑː kʰ u
खोतल्	kʰ o t̪ ʌ l
फागुन	pʰ ɑː ɡ u n
हडबडी	ɦ ʌ ɖ ʌ b ʌ ɖ iː
गम्भीरभावमा	ɡ ʌ m bʱ iː r bʱ ɑː b m ɑː
झकझकाउ	d͡zʱ ʌ k d͡zʱ ʌ k ɑː u
सुपरिवेक्षण	s u p ʌ r i b e k ʂ ʌ n
पुस	p u s
घुइँकि	ɡʱ u ĩ k i
वाक्यविश्लेषण	b ɑː k j ʌ b i ʂ l e ʂ ʌ n
सेक्टर	s e k t̪ ʌ r
तुलसीपुर	t̪ u l ʌ s iː p u r
अर्धचन्द्र	ʌ r d̪ʱ ʌ t͡ʃ ʌ n d̪ r
ओइरि	o i r i
जिनिस	d͡ʒ i n i s
पोर्ट	p o r t̪
कीटाणुनाशक	k iː t̪ ɑː n u n ɑː ʂ ʌ k
हड्डी	ɦ ʌ ɖ ɖ iː
राँध्	ɾä̃d̪ʱ
लँगौटी	lãŋɡɔʈi
बलाधिकृत	bəlɑd̪ʱikɾit
ठनठन	ʈʰənʈʰən
आदर	ɑd̪əɾ
कास्की	kɑskʰi
लोक	lɔk
जा	d͡ʒɑ
ढाड	ɖʱɑɖ
तागत	tɑɡət
कार्बनडाइअक्साइड	kɑɾbənɖɑikʰsɑid
धातु	d̪ʱɑt̪u
साध्या	sɑd̪ʱjɑ
उखाड्	ukʰɑɖ
थुँगा	t̪ʰũɡɑ
धुस्नि	d̪ʱusni
द्रुत	d̪ɾut
सम्भार	səmbʱɑɾ
खपटो	kʰəpʈɔ
सुरेन्द्र	surend̪ɾə
घोप्ट्	ɡʱɔpʈ
गणेशपुर	ɡəneʃpʊɾ
कन्पारो	kənpɑɾɔ
छ्‌वाँके	t͡ʃʰwãke
ताड्	tɑɖ
चिरबिरे	t͡ʃirbire
एकजीउ	ekd͡ʒiu
सेप	seɸ
आदिवासी	ɑd̪iwɑsi
कपी	kəpi
विद्यापीठ	vid̪jɑpiʈʰ
सुनुवाइ	sunuʋɑi
भाद्र	bʱɑd̪ɾə
शब्दकोष	ʃəbd̪koʃ
हिन्दी	ɦindi
भ्रष्टाचार	bʱrəʂʈɑt͡ʃɑɾ
पिरीपिरी	piripiri
धान्	d̪ʱɑn
स्वालस्वाल	sʋɑlsʋɑl
गोठपाला	ɡoʈʰpɑlɑ
अङ्गुलिका	əŋɡulikɑ
झँटाइ	d͡ʒʰãʈɑi
पुतौरो	putɔɾɔ
भरपाई	bʱəɾpɑi
हिक्मत	ɦikmət
लिबलिब	liblib
रिँग्नु	riŋɡnu
अभिषेचन	əbʱiʃet͡ʃən
कुच्चे	kut͡ʃt͡ʃe
मर्का	məɾkɑ
