'day	ˈd a j
alpay	ʔ a l ˈp a j
alpay	ˈʔ a l p a j
alperes	ʔ a l p e ˈɾ e s
alpil	ʔ a l ˈp i l
alpiler	ʔ a l p i ˈl e ɾ
alpombra	ʔ a l ˈp o m b ɾ a
alsa	ʔ a l ˈs a
alsan	ʔ a l ˈs a n
alsin	ʔ a l ˈs i n
also	ˈʔ a l s o
altanghap	ˌʔ a l t a ŋ ˈh a p
altapresyon	ʔ a l t a p ɾ e s ˈj o n
altar	ʔ a l ˈt a ɾ
alternatibo	ʔ a l t e ɾ n a ˈt i b o
altruismo	ʔ a l t ɾ u ˈi s m o
alugin	ʔ a l u ˈɡ i n
aluhipan	ʔ a l u ˈh i p a n
alulod	ʔ a l u ˈl o d
alulong	ʔ a l u ˈl o ŋ
alumahan	ʔ a l u ˈm a h a n
aluminyo	ʔ a l u ˈm i n j o
alupag	ʔ a l u ˈp a ɡ
alupag	ʔ a ˈl u p a ɡ
alupihan	ʔ a l u ˈp i h a n
alusema	ʔ a l u ˈs e m a
alusitha	ʔ a l u s i t ˈh a ʔ
alusyon	ʔ a ˈl u s j o n
Alvarado	ʔ a l v a ˈɾ a d o
Alvarado	ʔ a l b a ˈɾ a d o
Alvarez	ˈʔ a l v a ɾ e s
Alvarez	ˈʔ a l b a ɾ e s
Alvaro	ˈʔ a l v a ɾ o
Alvaro	ˈʔ a l b a ɾ o
Alviar	ʔ a l v i ˈa ɾ
Alviar	ʔ a l b i ˈa ɾ
alwagi	ʔ a l ˈw a ɡ i
alyado	ʔ a l ˈj a d o
alyansa	ʔ a l ˈj a n s a
alyas	ˈʔ a l j a s
alyas	ʔ a l ˈj a s
Alzaga	ʔ a l ˈs a ɡ a
am	ˈʔ a m
ama	ʔ a ˈm a
ama	ˈʔ a m a
ama	ˈʔ a m a
ama	ʔ a ˈm a
amag	ˈʔ a m a ɡ
amain	ʔ a m a ˈʔ i n
amak	ʔ a ˈm a k
amak	ˈʔ a m a k
amam	ˈʔ a m a m
amama	ʔ a ˈm a m a
Amanda	ʔ a ˈm a n d a
Amanisaya	ʔ a m a n i ˈs a j a ʔ
Amansinaya	ʔ a ˌm a n s i ˈn a j a
Amansinaya	ʔ a ˌm a n s i ˈn a j a ʔ
Amante	ʔ a ˈm a n t e
amapola	ʔ a m a ˈp o l a
amaranto	ʔ a m a ˈɾ a n t o
amarilyo	ʔ a m a ˈɾ i l j o
amas	ʔ a ˈm a s
amatista	ʔ a m a ˈt i s t a
amba	ʔ a m ˈb a ʔ
ambag	ʔ a m ˈb a ɡ
Amber	ˈʔ a m b e ɾ
ambi	ʔ a m ˈb i ʔ
ambigwidad	ʔ a m b i ɡ w i ˈd a d
ambisyon	ʔ a m b i s ˈj o n
ambisyosa	ʔ a m b i s ˈj o s a
ambisyoso	ʔ a m b i s ˈj o s o
ambon	ʔ a m ˈb o n
ambubuyog	ʔ a m b u ˈb u j o ɡ
ambulansiya	ʔ a m b u ˈl a n s j a
ambuwang	ʔ a m b u ˈa ŋ
Amelia	ʔ a ˈm i l j a
amen	ʔ a ˈm e n
amen	ˈʔ a m e n
Amerika	ʔ a ˈm e ɾ i k a
amerikana	ʔ a m e ɾ i ˈk a n a
Amerikana	ʔ a m e ɾ i ˈk a n a
Amerikano	ʔ a m e ɾ i ˈk a n o
Amigable	ʔ a m i ˈɡ a b l e
amihan	ʔ a ˈm i h a n
amil	ˈʔ a m i l
amil	ʔ a ˈm i l
amilyar	ʔ a m i l ˈj a ɾ
amilyaramyento	ʔ a m i l j a ɾ a m ˈj e n t o
amin	ˈʔ a m i n
amin	ˈʔ a m e n
aminado	ʔ a m i ˈn a d o
aminin	ʔ a ˈm i n i n
amis	ʔ a ˈm i s
amis	ˈʔ a m i s
Amisola	ʔ a m i ˈs o l a
amistad	ʔ a m i s ˈt a d
amnestiya	ʔ a m n e s ˈt i a
amnesya	ʔ a m ˈn e s j a
amo	ˈʔ a m o
amo	ˈʔ a m o ʔ
amo	ʔ a ˈm o ʔ
amogis	ʔ a ˈm o ɡ i s
amol	ˈʔ a m o l
Amon	ˈʔ a m o n
amonya	ʔ a ˈm o n j a
among	ˈʔ a m o ŋ
amor	ʔ a ˈm o ɾ
Amoranto	ʔ a m o ˈɾ a n t o
Amores	ʔ a ˈm o ɾ e s
amoritis	ʔ a m o ˈɾ i t i s
amorseko	ʔ a m o ɾ ˈs e k o
amorsiko	ʔ a m o ɾ ˈs i k o
Amos	ʔ a ˈm o s
amos	ˈʔ a m o s
amot	ˈʔ a m o t
amoy	ʔ a ˈm o j
amp	ˈʔ a m p
ampalaya	ʔ a m p a l a ˈj a
ampang	ʔ a m ˈp a ŋ
Ampatuan	ʔ a m p a ˈt u ʔ a n
ampaw	ʔ a m ˈp a w
ampaw	ˈʔ a m p a w
amperyo	ʔ a m ˈp e ɾ j o
ampibyan	ʔ a m ˈp i b j a n
ampiteatro	ʔ a m p i t e ˈa t ɾ o
ampiyon	ʔ a m p i ˈo n
ampon	ʔ a m ˈp o n
ampunan	ʔ a m ˈp u n a n
ampunan	ʔ a m p u ˈn a n
amugis	ʔ a ˈm u ɡ i s
Amurao	ʔ a m u ˈɾ a w
amuyong	ʔ a ˈm u j o ŋ
amyenda	ʔ a m ˈj e n d a
amyendahan	ʔ a m ˌj e n d a ˈh a n
anahaw	ʔ a ˈn a h a w
anak	ʔ a ˈn a k
anak	ˈʔ a n a k
anaki	ʔ a ˈn a k i ʔ
anaki	ʔ a ˈn a k i
anaklang	ʔ a n a k ˈl a ŋ
anakpawis	ʔ a n a k ˈp a w i s
anakroniko	ʔ a n a k ˌɾ o n i ˈk o
anakronismo	ʔ a n a k ɾ o ˈn i s m o
analisador	ʔ a n a l i s a ˈd o ɾ
analisis	ʔ a ˈn a l i s i s
analitika	ʔ a n a ˌl i t i ˈk a
analitiko	ʔ a n a ˈl i t i k o
analohiya	ʔ a n a l o ˈh i a
anaman	ʔ a n a ˈm a n
ananapla	ʔ a n a n a p ˈl a
anang	ʔ a ˈn a ŋ
anarkiya	ʔ a n a ɾ ˈk i a
anas	ʔ a ˈn a s
anasan	ˌʔ a ˈn a s a n
Anastasia	ʔ a n a s ˈt a s j a
anatomista	ʔ a n a t o ˈm i s t a
anatomiya	ʔ a n a t o ˈm i a
anatomiya	ʔ a n a t o m i ˈa
anawnser	ʔ a ˈn a w n s e ɾ
anay	ˈʔ a n a j
anayad	ʔ a ˈn a j a d
anayin	ʔ a ˈn a j i n
anayo	ʔ a ˈn a j o
anayo	ʔ a ˈn a j o ʔ
ancha	ʔ a n ˈt͡ʃ a
Ancheta	ʔ a n ˈt͡ʃ e t a
anda	ˈʔ a n d a
andaderas	ʔ a n d a ˈd e ɾ a s
Andal	ʔ a n ˈd a l
andam	ʔ a n ˈd a m
andap	ʔ a n ˈd a p
andar	ʔ a n ˈd a ɾ
Andaya	ʔ a n ˈd a j a
Andeng	ʔ a n ˈd e ŋ
Andora	ʔ a n ˈd o ɾ a
Andrada	ʔ a n ˈd ɾ a d a
Andrade	ʔ a n ˈd ɾ a d e
Andrea	ˈʔ a n d ɾ e a
Andres	ʔ a n ˈd ɾ e s
anek	ʔ a ˈn e k
anemya	ʔ a ˈn e m j a
anhin	ʔ a n ˈh i n
ani	ˈʔ a n i
ani	ʔ a ˈn i
ani	ʔ a ˈn i
anib	ˈʔ a n i b
anibersaryo	ʔ a n i b e ɾ ˈs a ɾ j o
anila	ˈʔ a n i l a
anila	ʔ a ˈn i l a
Anilao	ʔ a n i ˈl a w
anilaw	ʔ a ˈn i l a w
anilyo	ʔ a ˈn i l j o
anim	ˈʔ a n i m
animal	ʔ a n i ˈm a l
animismo	ʔ a n i ˈm i s m o
animnapu	ˌʔ a n i m n a ˈp u ʔ
animnaraan	ˌʔ a n i m n a ɾ a ˈʔ a n
aninag	ʔ a ˈn i n a ɡ
aninaw	ʔ a ˈn i n a w
aninaw	ʔ a n i ˈn a w
anino	ʔ a ˈn i n o
anis	ʔ a ˈn i s
anislag	ʔ a ˈn i s l a ɡ
anit	ˈʔ a n i t
anit	ʔ a ˈn i t
anito	ʔ a ˈn i t o
anito	ˈʔ a n i t o
aniya	ˈʔ a n i a
anlaw	ʔ a n ˈl a w
anlowage	ʔ a n l o ˈa ɡ e
anluwagi	ʔ a n l u ˈa ɡ i
Ann	ˈʔ a n
ano	ʔ a ˈn o
anod	ˈʔ a n o d
anomalya	ʔ a n o m a l ˈj a
anonang	ʔ a ˈn o n a ŋ
anonas	ʔ a ˈn o n a s
Anor	ʔ a ˈn o ɾ
anos	ʔ a ˈn o s
anos	ˈʔ a n o s
anot	ʔ a ˈn o t
ansiles	ʔ a n s i ˈl e s
ansilis	ʔ a n s i ˈl i s
anta	ʔ a n ˈt a
anta	ˈʔ a n t a
antabay	ʔ a n ˈt a b a j
antak	ʔ a n ˈt a k
antala	ʔ a n ˈt a l a
antala	ʔ a n ˈt a l a ʔ
antanda	ʔ a n t a n ˈd a ʔ
antas	ʔ a n ˈt a s
antay	ʔ a n ˈt a j
antemano	ʔ a n t e ˈm a n o
antena	ʔ a n ˈt e n a
antibiyotiko	ʔ a n t i b i ˌo t i ˈk o
antig	ʔ a n ˈt i ɡ
antik	ʔ a n ˈt i k
antilano	ʔ a n t i ˈl a n o
antilope	ʔ a n ˈt i l o p e
antilope	ʔ a n t i ˈl o p e
antipalo	ʔ a n t i ˈp a l o
antipara	ʔ a n t i ˈp a ɾ a
antipatika	ʔ a n t i ˈp a t i k a
antipatiko	ʔ a n t i ˈp a t i k o
antipolo	ʔ a n t i ˈp o l o
Antipolo	ʔ a n t i ˈp o l o
antipona	ʔ a n ˌt i p o ˈn a
Antiporda	ʔ a n t i ˈp o ɾ d a
Antique	ʔ a n ˈt i k e
antisipasyon	ʔ a n t i s i p a s ˈj o n
antisipo	ʔ a n t i ˈs i p o
antok	ʔ a n ˈt o k
antot	ʔ a n ˈt o t
antraks	ˈʔ a n t ɾ a k s
antropolohiya	ʔ a n t ɾ o p o l o ˈh i a
antsa	ʔ a n ˈt͡ʃ a
antukin	ʔ a n ˈt u k i n
antukin	ʔ a n t u ˈk i n
anubing	ʔ a ˈn u b i ŋ
anuhin	ʔ a n u ˈh i n
anuman	ʔ a n u ˈm a n
Anunciacion	ʔ a n u n s j a s ˈj o n
anunsiyasyon	ʔ a n u n s i a s ˈj o n
Anunsiyasyon	ʔ a n u n s i a s ˈj o n
anunsiyo	ʔ a ˈn u n s j o
anunsyo	ʔ a ˈn u n s j o
anuwang	ʔ a n u ˈa ŋ
anwang	ʔ a n ˈw a ŋ
anyare	ʔ a n ˈj a ɾ e
anyaya	ʔ a n ˈj a j a
anyaya	ʔ a n ˈj a j a ʔ
Anyayahan	ʔ a n j a ˈj a h a n
anyo	ʔ a n ˈj o ʔ
anyo	ˈʔ a n j o
anyos	ˈʔ a n j o s
Año	ˈʔ a ɲ o
Añonuevo	ˌʔ a ɲ o n u ˈe v o
Añonuevo	ˌʔ a n j o n u ˈe b o
ang	ʔ a ŋ
Ang	ʔ a ŋ
anga	ʔ a ˈŋ a
anga	ʔ a ˈŋ a ʔ
angal	ˈʔ a ŋ a l
angal	ʔ a ˈŋ a l
angal	ʔ a ˈŋ a l
angas	ˈʔ a ŋ a s
angas	ʔ a ˈŋ a s
angat	ʔ a ˈŋ a t
Angat	ʔ a ŋ ˈɡ a t
angaw	ˈʔ a ŋ a w
angaw	ʔ a ˈŋ a w
angaw	ˈʔ a ŋ a w
Angel	ˈʔ e j n d͡ʒ e l
Angel	ˈʔ a ŋ h e l
Angeles	ˈʔ a ŋ h e l e s
anggo	ʔ a ŋ ˈɡ o
anggulo	ˈʔ a ŋ ɡ u l o
anghang	ʔ a ŋ ˈh a ŋ
anghel	ʔ a ŋ ˈh e l
anghit	ʔ a ŋ ˈh i t
angi	ʔ a ˈŋ i
angil	ˈʔ a ŋ i l
angis	ʔ a ˈŋ i s
angkak	ʔ a ŋ ˈk a k
angkan	ʔ a ŋ ˈk a n
angkas	ʔ a ŋ ˈk a s
angkat	ʔ a ŋ ˈk a t
angkin	ʔ a ŋ ˈk i n
angkla	ˈʔ a ŋ k l a
angkong	ˈʔ a ŋ k o ŋ
angkop	ʔ a ŋ ˈk o p
ango	ʔ a ˈŋ o
Angono	ʔ a ˈŋ o n o
Angono	ʔ a ŋ ˈɡ o n o
angot	ʔ a ˈŋ o t
angpao	ˈʔ a ŋ p a w
ao	ˈʔ a ʔ o
apa	ˈʔ a p a
apa	ʔ a ˈp a ʔ
apahap	ʔ a ˈp a h a p
apak	ˈʔ a p a k
apak	ʔ a ˈp a k
apalit	ʔ a ˈp a l i t
apalya	ʔ a p a l ˈj a
aparador	ʔ a p a ɾ a ˈd o ɾ
aparato	ʔ a p a ˈɾ a t o
apat	ˈʔ a p a t
apatita	ʔ a p a ˈt i t a
apatnapu	ˌʔ a p a t n a ˈp u ʔ
apatnaraan	ˌʔ a p a t n a ɾ a ˈʔ a n
apaw	ˈʔ a p a w
apaw	ʔ a ˈp a w
apaya	ʔ a ˈp a j a
Apayao	ʔ a p a ˈj a w
Apayao	ʔ a ˈp a j a w
apdo	ʔ a p ˈd o
apektado	ʔ a p e k ˈt a d o
apekto	ʔ a ˈp e k t o
apela	ʔ a p e ˈl a
apelasyon	ʔ a p e l a s ˈj o n
apelyido	ʔ a p e l ˈj i d o
apendisitis	ʔ a p e n d i ˈs i t i s
Apganistan	ʔ a p ɡ a n i s ˈt a n
api	ʔ a ˈp i
apid	ʔ a ˈp i d
apidabit	ʔ a p i ˈd a b i t
apihin	ʔ a p i ˈh i n
apila	ʔ a p i ˈl a
Apilado	ʔ a p i ˈl a d o
apir	ʔ a ˈp i ɾ
apitong	ʔ a ˈp i t o ŋ
Aplasca	ʔ a p ˈl a s k a
aplay	ʔ a p ˈl a j
aplaya	ʔ a p ˈl a j a
aplikado	ʔ a p l i ˈk a d o
aplikant	ˈʔ a p l i k a n t
aplikante	ʔ a p l i ˈk a n t e
aplikasyon	ʔ a p l i k a s ˈj o n
apo	ʔ a ˈp o
apo	ˈʔ a p o ʔ
apog	ˈʔ a p o ɡ
apoheo	ʔ a p o ˈh e o
Apokripos	ʔ a ˌp o k ɾ i ˈp o s
Apolinar	ʔ a p o l i ˈn a ɾ
Apolinario	ʔ a p o l i ˈn a ɾ j o
Apolo	ʔ a ˈp o l o
Apolonio	ʔ a p o ˈl o n j o
apostasiya	ʔ a p o s t a ˈs i a
apostata	ʔ a p o s t a ˈt a
apostol	ʔ a p o s ˈt o l
apostolado	ʔ a p o s t o ˈl a d o
apostoles	ʔ a ˌp o s t o ˈl e s
apostoliko	ʔ a p o s ˌt o l i ˈk o
apostrope	ʔ a ˈp o s t ɾ o p e
apoy	ʔ a ˈp o j
apresasyon	ʔ a p ɾ e s a s ˈj o n
apresyasyon	ʔ a p ɾ e s ˈj a s j o n
Aprika	ˈʔ a p ɾ i k a
Aprikana	ʔ a p ɾ i ˈk a n a
Aprikano	ʔ a p ɾ i ˈk a n o
aprikot	ˌʔ a p ɾ i ˈk o t
April	ˈʔ e j p ɾ i l
apritada	ʔ a p ɾ i ˈt a d a
aproba	ʔ a p ɾ o ˈb a
aprobado	ʔ a p ɾ o ˈb a d o
aproksimasyon	ʔ a p ɾ o k s i m a s ˈj o n
aptitud	ʔ a p t i ˈt u d
apuhap	ʔ a ˈp u h a p
apuhap	ʔ a p u ˈh a p
apula	ʔ a ˈp u l a ʔ
apula	ʔ a p u ˈl a ʔ
Apulon	ʔ a ˈp u l o n
apunta	ʔ a p u n ˈt a
apuntador	ʔ a p u n t a ˈd o ɾ
apura	ʔ a p u ˈɾ a
apurado	ʔ a p u ˈɾ a d o
apuybilos	ʔ a p u j ˈb i l o s
apyak	ʔ a p ˈj a k
apyan	ʔ a p ˈj a n
apyo	ˈʔ a p j o
Aquiles	ʔ a ˈk i l e s
Aquino	ʔ a ˈk i n o
ar	ʔ a ɾ
Arabe	ʔ a ɾ a ˈb e
Arabe	ʔ a ˈɾ a b e
Arabia	ʔ a ˈɾ a b j a
Arabo	ʔ a ˈɾ a b o
Aragon	ʔ a ɾ a ˈɡ o n
Aragones	ʔ a ɾ a ˈɡ o n e s
arakibot	ʔ a ˈɾ a k i b o t
aral	ˈʔ a ɾ a l
aral	ʔ a ˈɾ a l
aralan	ʔ a ˈɾ a l a n
aralan	ˌʔ a ˈɾ a l a n
aralan	ʔ a ɾ a ˈl a n
aralin	ʔ a ɾ a ˈl i n
aralin	ʔ a ˈɾ a l i n
Arambulo	ʔ a ˈɾ a m b u l o
Aranda	ʔ a ˈɾ a n d a
Arandia	ʔ a ˈɾ a n d j a
Araneta	ʔ a ɾ a ˈn e t a
aranya	ʔ a ɾ a n ˈj a
aranya	ʔ a ˈɾ a n j a
Arañas	ʔ a ˈɾ a ɲ a s
arangkada	ʔ a ɾ a ŋ ˈk a d a
Arao	ˈʔ a ɾ a w
arap	ˈʔ a ɾ a p
araro	ʔ a ˈɾ a ɾ o
araru	ʔ a ɾ a ˈɾ u
aras	ˈʔ a ɾ a s
aratiles	ʔ a ˈɾ a t i l e s
aratilis	ʔ a ˌɾ a t i ˈl i s
araw	ˈʔ a ɾ a w
araw	ʔ a ˈɾ a w
arawan	ʔ a ɾ a ˈw a n
arawan	ʔ a ˈɾ a w a n
aray	ʔ a ˈɾ a j
arbor	ˈʔ a ɾ b o ɾ
Arcalas	ˈʔ a ɾ k a l a s
Arce	ˈʔ a ɾ s e
Arcega	ʔ a ɾ ˈs e ɡ a
Arceo	ʔ a ɾ ˈs e o
Arciaga	ʔ a ɾ s i ˈa ɡ a
Arcilla	ʔ a ɾ ˈs i l j a
Arcillas	ʔ a ɾ ˈs i l j a s
Arcinas	ʔ a ɾ ˈs i n a s
ardilya	ʔ a ɾ ˈd i l j a
are	ʔ a ˈɾ e
Areglado	ʔ a ɾ e ɡ ˈl a d o
areglo	ʔ a ˈɾ e ɡ l o
Arellano	ʔ a ɾ e l ˈj a n o
Arenas	ʔ a ˈɾ e n a s
arestado	ʔ a ɾ e s ˈt a d o
aresto	ʔ a ˈɾ e s t o
Arevalo	ʔ a ˈɾ e v a l o
Arevalo	ʔ a ˈɾ e b a l o
Argente	ʔ a ɾ ˈh e n t e
argolya	ʔ a ɾ ˈɡ o l j a
Arguelles	ʔ a ɾ ɡ u ˈe l j e s
Arguelles	ʔ a ɾ ˈɡ e l j e s
argumento	ʔ a ɾ ɡ u ˈm e n t o
Arhentina	ʔ a ɾ h e n ˈt i n a
ari	ˈʔ a ɾ i ʔ
ari	ʔ a ˈɾ i
ari	ʔ a ˈɾ e
ari	ʔ a ˈɾ i ʔ
ariangaw	ʔ a ɾ i ˈʔ a ŋ a w
Arias	ʔ a ɾ ˈj a s
Arias	ˈʔ a ɾ j a s
ariba	ʔ a ˈɾ i b a
Aries	ˈʔ a ɾ j e s
arilyos	ʔ a ˈɾ i l j o s
arina	ʔ a ˈɾ i n a
Ariola	ʔ a ɾ ˈj o l a
aristokrasya	ʔ a ɾ i s t o ˈk ɾ a s j a
Aristoteles	ʔ a ɾ i s ˈt o t e l e s
arkansiya	ʔ a ɾ k a n ˈs i a
arkanghel	ʔ a ɾ k a ŋ ˈh e l
arkanghel	ʔ a ɾ ˈk a ŋ h e l
arkeologo	ʔ a ɾ k e ˈo l o ɡ o
arkeolohiya	ʔ a ɾ k e o l o ˈh i a
arkila	ʔ a ɾ k i ˈl a
arkipelago	ʔ a ɾ k i ˈp e l a ɡ o
arkitekto	ʔ a ɾ k i ˈt e k t o
arkitektura	ʔ a ɾ k i t e k ˈt u ɾ a
arko	ˈʔ a ɾ k o
arko	ʔ a ɾ ˈk o
arlekin	ʔ a ɾ l e ˈk i n
Arlene	ʔ a ɾ ˈl i n
armadilyo	ʔ a ɾ m a ˈd i l j o
armado	ʔ a ɾ ˈm a d o
armalayt	ˈʔ a ɾ m a l a j t
Armamento	ʔ a ɾ m a ˈm e n t o
armas	ʔ a ɾ ˈm a s
armas	ˈʔ a ɾ m a s
Armenya	ʔ a ɾ ˈm e n j a
arminyo	ʔ a ɾ ˈm i n j o
armonika	ʔ a ɾ ˌm o n i ˈk a
Arnaiz	ʔ a ɾ ˈn a ʔ i s
arnibal	ʔ a ɾ ˈn i b a l
arnis	ʔ a ɾ ˈn i s
arobo	ʔ a ˈɾ o b o
arogante	ʔ a ɾ o ˈɡ a n t e
arok	ʔ a ˈɾ o k
aroma	ʔ a ˈɾ o m a
aroskaldo	ʔ a ɾ o s ˈk a l d o
arpa	ˈʔ a ɾ p a
arpa	ʔ a ɾ ˈp a
arpiya	ʔ a ɾ ˈp i a
Arquiza	ʔ a ɾ ˈk i z a
Arquiza	ʔ a ɾ ˈk i s a
Arrieta	ʔ a ɾ ˈj e t a
Arriola	ʔ a ɾ ˈj o l a
Arrogante	ʔ a ɾ o ˈɡ a n t e
Arrojado	ʔ a ɾ o ˈh a d o
Arroyo	ʔ a ˈɾ o j o
arseniko	ʔ a ɾ ˌs e n i ˈk o
arsilya	ʔ a ɾ ˈs i l j a
arsobispado	ʔ a ɾ s o b i s ˈp a d o
arsobispo	ʔ a ɾ s o ˈb i s p o
arte	ˈʔ a ɾ t e
Artiaga	ʔ a ɾ t i ˈa ɡ a
artikulo	ʔ a ɾ ˌt i k u ˈl o
artipisyal	ʔ a ɾ t i p i s ˈj a l
artista	ʔ a ɾ ˈt i s t a
artropodo	ʔ a ɾ ˈt ɾ o p o d o
artseriya	ʔ a ɾ t͡ʃ e ˈɾ i a
artsiduke	ʔ a ɾ t͡ʃ i ˈd u k e
artsipiyelago	ʔ a ɾ t͡ʃ i p i ˈe l a ɡ o
aruskaldo	ʔ a ɾ u s ˈk a l d o
arwa	ʔ a ɾ ˈw a ʔ
arya	ˈʔ a ɾ j a
Aryes	ˈʔ a ɾ j e s
Arzadon	ʔ a ɾ z a ˈd o n
Arzadon	ʔ a ɾ s a ˈd o n
asa	ˈʔ a s a
asada	ʔ a ˈs a d a
asado	ʔ a ˈs a d o
asador	ʔ a s a ˈd o ɾ
asahan	ʔ a ˈs a h a n
asal	ˈʔ a s a l
asal	ʔ a ˈs a l
asalan	ʔ a ˈs a l a n
asalin	ʔ a ˈs a l i n
asalin	ʔ a s a ˈl i n
asam	ʔ a ˈs a m
asamblea	ʔ a s a m ˈb l e a
asambleista	ʔ a s a m b l e ˈʔ i s t a
asambleya	ʔ a s a m ˈb l e a
asanorya	ʔ a s a ˈn o ɾ j a
asap	ʔ a ˈs a p
asap	ˈʔ a s a p
asapran	ʔ a s a p ˈɾ a n
asar	ʔ a ˈs a ɾ
asarol	ʔ a s a ˈɾ o l
asawa	ʔ a ˈs a w a
asaynment	ʔ a ˈs a j n m e n t
asbesto	ʔ a s ˈb e s t o
asbok	ʔ a s ˈb o k
asemblea	ʔ a s e m ˈb l e a
asendero	ʔ a s e n ˈd e ɾ o
asenso	ʔ a ˈs e n s o
Aserbayan	ʔ a s e ɾ b a ˈj a n
asete	ʔ a ˈs e t e
aseyte	ʔ a ˈs e j t e
aseytera	ʔ a s e j ˈt e ɾ a
aseytuna	ʔ a s e j ˈt u n a
aseytuno	ʔ a s e j ˈt u n o
Ashley	ˈʔ a ʃ l i
asibar	ʔ a ˈs i b a ɾ
asido	ˈʔ a s i d o
asignatura	ʔ a s i ɡ n a ˈt u ɾ a
asikaso	ʔ a s i ˈk a s o
asilo	ʔ a ˈs i l o
asilo	ˈʔ a s i l o
Asilo	ʔ a ˈs i l o
asim	ˈʔ a s i m
asin	ʔ a ˈs i n
asinan	ʔ a ˈs i n a n
asinan	ʔ a s i ˈn a n
asindero	ʔ a s i n ˈd e ɾ o
asinta	ʔ a s i n ˈt a
asintada	ʔ a s i n ˈt a d a
asintado	ʔ a s i n ˈt a d o
Asistio	ʔ a ˈs i s t j o
asiwa	ʔ a s i ˈw a ʔ
asiwa	ʔ a ˈs i w a ʔ
askal	ˈʔ a s k a l
asnan	ʔ a s ˈn a n
asno	ˈʔ a s n o
asngal	ʔ a s ˈŋ a l
aso	ˈʔ a s o
aso	ʔ a ˈs o
asog	ˈʔ a s o ɡ
asog	ʔ a ˈs o ɡ
asoge	ʔ a ˈs o ɡ e
asosasyon	ʔ a s o s a s ˈj o n
asotea	ʔ a s o ˈt e a
aspalto	ʔ a s ˈp a l t o
aspekto	ʔ a s ˈp e k t o
aspeto	ʔ a s ˈp e t o
aspile	ʔ a s p i ˈl e
aspin	ˈʔ a s p i n
aspirina	ʔ a s p i ˈɾ i n a
aspital	ʔ a s p i ˈt a l
asta	ʔ a s ˈt a ʔ
asta	ˈʔ a s t a
astaka	ʔ a s ˈt a k a ʔ
astaka	ʔ a s t a ˈk a ʔ
astakona	ʔ a s t a ˈk o n a
astig	ʔ a s ˈt i ɡ
astigmatismo	ʔ a s t i ɡ m a ˈt i s m o
Astilyehos	ʔ a s t i l ˈj e h o s
astinggal	ʔ a s t i ŋ ˈɡ a l
astro	ˈʔ a s t ɾ o
astrolohiya	ʔ a s t ɾ o l o ˈh i a
astronomiya	ʔ a s t ɾ o n o ˈm i a
astropisika	ʔ a s t ɾ o ˈp i s i k a
asukal	ʔ a ˈs u k a l
asukarera	ʔ a s u k a ˈɾ e ɾ a
asul	ʔ a ˈs u l
Asuncion	ʔ a s u n s i ˈo n
Asunsiyon	ʔ a s u n s i ˈo n
asunto	ʔ a ˈs u n t o
asungot	ʔ a ˈs u ŋ o t
asupre	ʔ a ˈs u p ɾ e
asusena	ʔ a s u ˈs e n a
aswang	ʔ a s ˈw a ŋ
Asya	ˈʔ a s j a
Asyano	ʔ a s ˈj a n o
asyenda	ʔ a s ˈj e n d a
at	ʔ a t
ata	ˈʔ a t a ʔ
ata	ˈʔ a t a
atake	ʔ a ˈt a k e
atang	ˈʔ a t a ŋ
atang	ʔ a ˈt a ŋ
atangya	ʔ a t a ŋ ˈj a
ataro	ʔ a t a ˈɾ o
atas	ˈʔ a t a s
atas	ʔ a ˈt a s
atat	ʔ a ˈt a t
ataud	ʔ a t a ˈʔ u d
ataul	ʔ a t a ˈʔ u l
atay	ʔ a ˈt a j
atay	ˈʔ a t a j
atayin	ʔ a t a ˈj i n
ate	ˈʔ a t e
ate	ʔ a ˈt e
ate	ʔ a ˈt e ʔ
Ate	ˈʔ a t e
ateismo	ʔ a t e ˈi s m o
ateista	ʔ a t e ˈi s t a
Atenas	ʔ a ˈt e n a s
Atendido	ʔ a t e n ˈd i d o
ateneo	ʔ a t e ˈn e o
atensiyon	ʔ a t e n s i ˈo n
Athanasia	ʔ a t h a ˈn a s j a
Athena	ʔ a ˈt i n a
Atienza	ʔ a t ˈj e n z a
Atienza	ʔ a t ˈj e n s a
atig	ʔ a ˈt i ɡ
atigin	ʔ a t i ˈɡ i n
atik	ʔ a ˈt i k
atikha	ʔ a t i k ˈh a ʔ
atim	ʔ a ˈt i m
atin	ˈʔ a t i n
atin	ˈʔ a t e n
atip	ʔ a ˈt i p
atis	ˈʔ a t i s
Atlantiko	ʔ a t ˈl a n t i k o
atleta	ʔ a t ˈl e t a
atlo	ʔ a t ˈl o
atomismo	ʔ a t o ˈm i s m o
atomo	ˈʔ a t o m o
atras	ʔ a t ˈɾ a s
atraso	ʔ a t ˈɾ a s o
atrebida	ʔ a t ɾ e ˈb i d a
atrebido	ʔ a t ɾ e ˈb i d o
atribida	ʔ a t ɾ i ˈb i d a
atribido	ʔ a t ɾ i ˈb i d o
atribusyon	ʔ a t ɾ i b u s ˈj o n
atsara	ʔ a ˈt͡ʃ a ɾ a
atse	ˈʔ a t͡ʃ e
atsi	ˈʔ a t͡ʃ i
Atsi	ˈʔ a t͡ʃ i
atsoy	ʔ a ˈt͡ʃ o j
atsuwete	ʔ a t͡ʃ u ˈe t e
atswete	ʔ a t͡ʃ ˈw e t e
